,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.74,0.95,0.45,0.59,0.43,0.72,0.86,0.5,0.47,0.63
fritzing.csv,0.49,0.5,0.47,0.53,0.38,0.45,0.5,0.82,0.47,0.57
jlinalg.csv,0.47,0.79,0.53,0.43,0.61,0.53,0.43,0.47,0.61,0.53
knowledge.csv,0.43,0.39,0.45,0.38,0.4,0.48,0.59,0.42,0.48,0.44
massiv.csv,0.88,0.96,0.62,0.0,0.0,0.95,0.0,0.54,0.0,0.0
multitude.csv,0.55,0.48,0.42,0.35,0.37,0.42,0.37,0.35,0.49,0.44
playerstage.csv,0.44,0.47,0.43,0.49,0.39,0.59,0.75,0.62,0.5,0.6
quarkplusplus.csv,0.46,0.71,0.48,0.63,0.52,0.88,0.93,0.48,0.56,0.6
rtrt-on-gpu.csv,0.91,0.49,0.97,0.59,0.84,0.69,0.9,0.86,0.89,0.75
superwaba.csv,0.47,0.45,0.44,0.71,0.41,0.45,0.57,0.35,0.47,0.53
