,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.14,0.04,0.07,0.19,0.11,0.55,0.21,0.37,0.22,0.26,0.5,0.0,0.16,0.69
avifile.csv,0.15,0.65,0.11,0.46,0.83,0.31,0.62,0.71,0.42,0.12,0.89,0.6,0.32,0.47
delphilhlplib.csv,0.35,0.15,0.15,0.29,0.28,0.65,0.45,0.17,0.34,0.0,0.07,0.0,0.0,0.22
fluidium.csv,0.02,0.25,0.0,0.49,0.56,0.21,0.38,0.0,0.03,0.0,0.02,0.2,0.74,0.12
gnome-jabber.csv,0.4,0.69,0.48,0.28,0.5,0.43,0.48,0.4,0.6,0.29,0.52,0.2,0.74,0.53
ipfilter.csv,0.65,0.87,1.0,0.9,1.0,0.31,0.76,0.91,0.8,0.49,0.96,1.0,0.11,0.56
jparsec.csv,0.75,1.0,0.74,1.0,1.0,0.74,0.97,0.86,0.92,0.25,1.0,1.0,1.0,0.91
loki-lib.csv,0.42,0.88,0.44,0.69,0.22,0.16,0.14,0.31,0.37,0.49,0.22,1.0,0.47,0.12
mumble.csv,0.02,1.0,0.63,1.0,0.89,0.49,0.0,0.57,0.17,0.51,0.2,1.0,0.89,0.0
opengs.csv,0.35,0.77,0.26,0.4,0.78,0.29,0.38,0.37,0.34,0.74,0.15,0.0,0.63,0.31
owfs.csv,0.72,0.33,0.74,0.1,1.0,0.97,0.69,0.63,0.49,0.91,0.89,0.4,0.79,0.66
rectracker.csv,0.95,0.87,0.15,0.91,1.0,0.99,0.69,0.71,0.63,1.0,0.91,1.0,0.95,0.97
rockbox.csv,0.49,0.19,0.63,0.03,0.11,0.43,0.28,0.34,0.35,0.33,0.22,0.4,0.26,0.22
zealos.csv,0.0,0.04,0.44,0.38,0.0,0.0,0.0,0.03,0.11,0.16,0.11,0.0,0.0,0.0
