,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.56,0.53,0.71,0.83,0.87,0.8,0.7,0.94,0.73,0.53,0.64,0.72,0.68,0.32,0.62,0.96,0.37,0.5,0.68
bzbyte.csv,0.06,0.0,1.0,0.57,0.14,1.0,0.67,0.0,0.0,1.0,0.75,0.77,0.0,1.0,1.0,0.98,1.0,1.0,0.0
chrysalis.csv,0.5,0.72,0.41,0.83,0.69,0.65,0.67,0.68,0.92,0.62,0.36,0.7,0.68,0.5,0.79,0.78,0.85,0.9,0.91
dspace-gsoc.csv,0.68,0.84,0.41,0.48,0.81,0.96,0.7,0.72,0.88,0.47,0.78,0.81,0.59,0.66,0.65,0.94,0.33,0.6,0.83
fbmanager.csv,0.26,0.19,0.68,0.61,0.04,0.23,0.44,0.14,0.08,0.38,0.25,0.4,0.0,0.41,0.79,0.19,0.52,0.72,0.08
fityk.csv,0.68,0.81,0.76,0.63,0.79,0.62,0.78,0.78,0.79,0.52,0.5,0.84,0.9,0.75,0.91,0.37,0.56,0.98,0.62
fleet-simulator.csv,0.99,0.88,0.94,0.91,0.94,0.57,1.0,0.85,0.88,1.0,0.89,0.72,1.0,0.91,1.0,1.0,0.52,0.81,0.87
freenet.csv,0.71,0.88,0.82,0.76,0.73,0.51,0.93,0.86,0.92,0.74,0.81,0.74,0.92,0.84,0.97,0.48,0.81,1.0,0.81
google-caja.csv,0.78,0.94,0.76,0.85,0.93,0.99,0.93,0.85,1.0,0.69,0.97,0.98,0.96,0.89,1.0,0.89,0.93,0.97,1.0
k3b.csv,0.76,0.91,0.88,0.78,0.88,0.96,0.7,0.85,0.83,0.64,1.0,0.98,0.87,0.8,0.74,0.8,1.0,0.86,0.88
mediaportal.csv,0.22,0.31,0.06,0.37,0.3,0.19,0.41,0.23,0.5,0.21,0.25,0.18,0.57,0.09,0.47,0.19,0.0,0.28,0.28
myfaces.csv,0.62,0.56,0.56,0.83,0.56,0.51,0.56,0.28,0.65,0.45,0.5,0.53,0.69,0.61,0.32,0.76,0.41,0.45,0.73
onotoa.csv,0.5,0.38,0.26,0.52,0.33,0.7,0.26,0.24,0.54,0.52,0.67,0.19,0.39,0.59,0.71,0.24,0.26,0.55,0.41
paintown.csv,0.69,0.62,0.94,0.96,0.73,0.74,0.78,0.88,0.88,0.59,0.86,0.53,0.68,0.73,0.74,0.87,0.96,0.48,0.98
poormans.csv,0.18,0.5,0.09,0.41,0.5,0.24,0.74,0.26,0.5,0.29,0.36,0.16,0.88,0.3,0.76,0.02,0.19,0.59,0.26
sqlpower-library.csv,1.0,0.88,1.0,0.74,0.95,0.8,1.0,0.79,0.98,1.0,0.94,0.86,1.0,1.0,1.0,0.78,0.59,1.0,0.94
triplea.csv,0.56,0.72,0.59,0.72,0.81,0.66,0.52,0.74,0.98,0.71,0.67,0.67,0.72,0.64,0.88,0.78,0.81,0.71,0.81
xamj.csv,0.56,0.25,0.71,0.43,0.91,0.74,0.7,0.88,0.77,0.66,0.72,0.81,0.77,0.55,0.82,0.41,0.41,0.31,0.68
