,graphmak.csv,pdfedit.csv,hazelcast.csv,betoffice.csv,tart.csv,jrdf.csv,elvishrayrenderer.csv
betoffice.csv,0.5,0.77,1.0,0.53,0.66,0.64,0.67
elvishrayrenderer.csv,0.35,0.4,0.2,0.02,0.29,0.36,0.28
graphmak.csv,0.24,0.81,0.6,0.8,0.87,0.83,0.83
hazelcast.csv,0.87,0.63,0.0,0.53,0.67,0.68,0.56
jrdf.csv,0.3,0.35,0.0,0.13,0.15,0.19,0.17
pdfedit.csv,0.59,0.33,0.9,0.27,0.57,0.63,0.44
tart.csv,0.33,0.4,0.3,0.73,0.25,0.78,0.5
