,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.04,0.69,0.26,0.54,0.47,0.58,0.46,0.57,0.84,0.57,0.48
bscwweasel.csv,0.01,0.05,0.32,0.17,0.36,0.2,0.36,0.45,0.16,0.59,0.15
capcode.csv,0.01,0.74,0.95,0.77,0.38,0.3,0.26,0.11,0.57,0.59,0.28
lamp.csv,0.03,0.25,0.14,0.46,0.91,0.68,0.9,0.24,0.62,0.46,0.59
nodal.csv,0.0,0.02,0.15,0.37,0.73,0.37,0.0,0.1,0.13,0.52,0.09
pydev.csv,0.29,0.16,0.2,0.59,0.64,0.7,0.41,0.66,0.37,0.26,0.41
retromenu.csv,0.01,0.24,0.17,0.15,0.22,0.35,0.13,0.19,0.16,0.1,0.02
smbopensoft.csv,0.17,0.97,0.95,0.72,0.84,0.41,0.59,0.34,0.41,0.72,0.26
stuproa-cims.csv,0.01,0.0,0.26,0.15,0.51,0.07,0.03,0.15,0.41,0.58,0.5
thout.csv,0.76,0.81,0.21,0.11,0.64,0.94,0.9,0.85,0.98,0.67,0.5
uface.csv,1.0,1.0,0.94,0.54,0.71,0.61,0.95,0.62,0.49,0.43,0.07
