,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.07,0.55,0.15,0.11,0.49,0.06,0.58,0.48,0.48,0.69,0.62,0.0,0.0,0.35,0.79
atlc.csv,0.42,0.79,0.08,0.43,0.44,0.2,0.76,0.67,0.47,0.56,0.62,0.76,0.35,0.32,0.33
bwapi.csv,0.37,0.72,0.07,0.42,0.67,0.23,0.72,0.72,0.28,0.85,0.59,0.69,0.34,0.35,0.24
cubefs.csv,0.36,0.74,0.11,0.38,0.66,0.23,0.61,0.74,0.29,0.15,0.59,0.07,0.3,0.36,0.42
freewrl.csv,0.35,0.74,0.11,0.39,0.6,0.22,0.7,0.6,0.32,0.87,0.69,0.74,0.31,0.39,0.42
iaml.csv,0.13,0.66,0.0,0.0,0.36,0.18,0.72,0.18,0.33,0.28,0.53,0.46,0.3,0.27,0.34
jrdf.csv,0.41,0.69,0.0,0.31,0.52,0.24,0.64,0.53,0.24,0.02,0.14,0.0,0.59,0.3,0.03
kwave.csv,0.49,0.74,0.12,0.0,0.58,0.23,0.59,0.3,0.24,0.39,0.7,0.0,0.37,0.35,0.42
oscarmcmaster.csv,0.3,0.58,0.15,0.1,0.6,0.3,0.52,0.66,0.29,0.55,0.64,0.32,0.3,0.45,0.7
rtrt-on-gpu.csv,0.11,0.59,0.11,0.39,0.64,0.11,0.61,0.27,0.67,0.8,0.21,0.18,0.42,0.23,0.36
theresa.csv,0.26,0.44,0.33,0.0,0.44,0.22,0.31,0.36,0.29,0.21,0.51,0.45,0.39,0.28,0.52
thrust.csv,0.0,0.0,0.0,0.5,0.24,0.06,0.39,0.42,0.0,0.13,0.24,0.36,0.19,0.17,0.07
tktoolkit.csv,0.38,0.18,0.13,0.38,0.53,0.46,0.34,0.82,0.29,0.7,0.67,0.17,0.28,0.32,0.35
xstore.csv,0.36,0.71,0.24,0.0,0.26,0.25,0.33,0.4,0.16,0.25,0.72,0.07,0.18,0.32,0.51
yaprm.csv,0.28,0.0,0.25,0.26,0.68,0.31,0.62,0.59,0.24,0.14,0.38,0.69,0.24,0.26,0.0
