,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.08,0.6,0.1,0.5,0.46,0.08,0.79,0.75,0.45,0.71,0.6,0.0,0.0,0.27,0.67
atlc.csv,0.31,0.84,0.04,0.28,0.41,0.12,0.64,0.66,0.35,0.75,0.53,0.67,0.21,0.22,0.22
bwapi.csv,0.23,0.57,0.04,0.27,0.5,0.13,0.57,0.69,0.17,0.92,0.49,0.53,0.2,0.22,0.16
cubefs.csv,0.22,0.59,0.06,0.25,0.49,0.13,0.58,0.8,0.17,0.55,0.67,1.0,0.6,0.24,0.27
freewrl.csv,0.21,0.59,0.06,0.26,0.46,0.13,0.58,0.72,0.19,0.78,0.53,0.7,0.2,0.25,0.27
iaml.csv,0.14,0.79,0.0,0.0,0.46,0.11,0.76,0.73,0.38,0.95,0.73,0.52,0.24,0.19,0.5
jrdf.csv,0.46,0.56,0.0,0.25,0.48,0.14,0.56,0.88,0.15,1.0,0.33,0.0,0.5,0.21,0.02
kwave.csv,0.43,0.59,0.07,0.0,0.48,0.13,0.58,0.93,0.14,0.69,0.6,0.0,0.26,0.22,0.27
oscarmcmaster.csv,0.29,0.71,0.1,0.33,0.52,0.22,0.69,0.65,0.5,0.8,0.58,0.6,0.2,0.36,0.69
rtrt-on-gpu.csv,0.11,0.51,0.06,0.29,0.56,0.07,0.67,0.72,0.57,0.84,0.35,0.5,1.0,0.17,0.31
theresa.csv,0.27,0.86,0.2,0.0,0.59,0.13,0.5,0.82,0.27,0.62,0.75,0.59,0.38,0.22,0.53
thrust.csv,0.0,0.0,0.0,0.53,0.43,0.1,0.6,0.58,0.0,0.64,0.38,0.47,0.13,0.19,0.08
tktoolkit.csv,0.25,1.0,0.07,0.25,0.48,0.39,0.49,0.69,0.17,0.79,0.59,0.38,0.19,0.2,0.23
xstore.csv,0.35,0.6,0.14,0.0,0.44,0.14,0.49,0.69,0.11,0.53,0.74,1.0,0.17,0.23,0.38
yaprm.csv,0.22,0.0,0.15,0.24,0.68,0.25,0.68,0.6,0.2,0.59,0.67,0.53,0.15,0.18,0.0
