,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.5,0.0,0.18,0.04,0.9,0.19,0.13,0.51,0.41,0.12,0.0,0.75,0.48,0.36,0.29,0.44
betoffice.csv,0.25,0.63,0.1,0.59,0.1,0.21,0.22,0.0,0.32,0.62,0.57,0.25,0.19,0.21,0.29,0.31
bionote.csv,0.08,0.05,0.21,0.0,0.4,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.07
bnetd.csv,0.92,1.0,0.36,0.46,0.5,0.6,0.43,0.62,0.52,0.38,0.0,0.88,0.52,0.51,0.96,0.61
emisview.csv,0.33,0.0,0.11,0.17,0.0,0.0,0.13,0.16,0.18,0.0,0.0,0.38,0.15,0.23,0.27,0.18
findbugs.csv,0.58,0.47,0.92,0.37,0.5,0.13,0.35,0.56,0.4,0.38,0.63,0.0,0.17,0.31,0.0,0.41
hazelcast.csv,0.83,0.89,0.34,0.83,0.0,0.96,0.87,0.87,0.93,0.88,0.69,1.0,0.87,0.85,0.87,0.71
jitterbit.csv,0.5,0.26,0.92,0.2,0.1,0.26,0.09,0.27,0.0,0.62,0.51,0.0,0.19,0.51,0.2,0.38
jppf-project.csv,0.67,1.0,0.85,1.0,0.7,0.91,0.96,0.93,0.9,1.0,1.0,0.0,0.83,0.79,0.8,0.94
kolmafia.csv,0.5,0.47,0.01,0.3,0.0,0.51,0.22,0.38,0.21,0.38,0.09,0.62,0.35,0.0,0.44,0.32
megasquirtavr.csv,0.92,1.0,0.0,0.98,0.9,1.0,0.96,0.87,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.98
qedo.csv,0.08,0.05,0.07,0.07,0.0,0.06,0.0,0.0,0.02,0.38,0.26,0.0,0.02,0.0,0.0,0.0
trackit.csv,0.5,0.21,0.01,0.24,0.3,0.34,0.04,0.27,0.66,0.62,0.29,0.38,0.29,0.31,0.42,0.41
wxlua.csv,0.92,1.0,0.75,1.0,1.0,0.91,0.96,1.0,0.98,0.0,0.97,1.0,0.96,0.97,0.98,0.85
x4x.csv,0.0,0.42,0.01,0.61,0.3,0.32,0.7,0.31,0.66,0.25,0.74,0.5,0.81,0.82,0.76,0.62
xharbour.csv,1.0,0.0,0.75,0.5,0.9,0.23,0.65,0.76,0.49,0.38,0.94,0.12,0.6,0.54,0.51,0.74
