,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,0.07,0.9,0.14,0.0,0.05,0.0,0.1
flylegacy.csv,0.74,0.6,0.05,0.56,0.66,0.3,0.7
jguard.csv,0.51,0.2,0.36,0.56,0.34,0.02,0.57
mob-sen-plat.csv,0.58,0.05,0.68,0.53,0.59,0.55,0.26
raygina.csv,0.0,0.1,0.77,0.54,0.29,0.36,0.57
upp-mirror.csv,0.33,0.2,0.36,0.31,0.02,0.25,0.59
wishmaster.csv,0.19,0.55,0.23,0.33,0.12,0.32,0.0
