,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,0.0,0.58,0.87,1.0,0.33,0.0,0.0
flylegacy.csv,0.38,0.67,0.98,0.17,0.67,0.45,0.17
jguard.csv,0.42,0.33,0.8,0.16,0.66,0.97,0.2
mob-sen-plat.csv,0.29,0.97,0.66,0.11,0.5,0.38,0.11
raygina.csv,1.0,0.6,0.68,0.16,0.67,0.31,0.19
upp-mirror.csv,0.53,0.56,0.81,0.23,0.98,0.36,0.16
wishmaster.csv,0.27,0.54,0.79,0.22,0.67,0.25,1.0
