,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,nebuladevice.csv
ikvm.csv,0.44,0.86,0.41,0.27,0.44,0.64,0.33
libtorrent.csv,0.95,0.55,1.0,0.8,0.96,0.74,0.93
mcmc-jags.csv,0.52,0.68,0.85,0.93,0.85,0.74,0.67
nebuladevice.csv,0.74,0.23,0.0,0.73,0.01,0.39,0.8
olap-navigator.csv,0.85,0.41,0.59,0.47,0.59,0.37,0.73
pidgin.csv,0.3,0.5,0.85,0.07,0.75,0.47,0.4
sepgsql.csv,0.59,0.59,0.81,0.33,0.69,0.39,0.13
