,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,nebuladevice.csv
ikvm.csv,0.87,0.17,0.9,0.96,0.77,0.86,0.91
libtorrent.csv,0.85,0.7,0.77,0.61,0.78,0.34,0.64
mcmc-jags.csv,0.65,0.71,0.87,0.16,0.75,0.71,0.83
nebuladevice.csv,0.79,0.92,1.0,0.65,0.99,0.69,0.31
olap-navigator.csv,0.15,0.7,0.43,0.57,0.51,0.63,0.44
pidgin.csv,0.71,0.66,0.79,0.93,0.4,0.55,0.65
sepgsql.csv,0.41,0.6,0.37,0.68,0.46,0.61,0.87
