,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,beast-mcmc.csv
apertium.csv,0.13,0.01,0.0,0.0,0.03,0.09,0.12,,0.06,0.04,0.14,0.0,0.27,0.02,0.22,0.06,0.03
beast-mcmc.csv,0.66,0.29,0.45,0.06,0.31,0.54,0.26,0.52,0.56,0.38,0.14,0.19,0.47,0.43,0.66,0.18,
bigdata.csv,0.89,0.67,1.0,0.51,0.59,1.0,0.97,0.19,0.79,1.0,0.36,,0.3,0.64,0.66,0.65,0.52
codesmith.csv,0.21,0.36,0.87,0.57,0.66,0.83,0.7,0.36,0.38,0.92,0.57,0.24,0.6,0.91,0.56,,0.32
cuberok.csv,0.29,0.39,0.18,0.69,0.39,,0.18,0.5,0.76,0.42,0.57,0.35,0.43,0.96,0.47,0.44,0.18
exist.csv,0.97,0.72,0.63,0.97,0.98,0.94,1.0,0.86,,0.96,1.0,0.46,1.0,1.0,0.94,0.97,0.88
icescrum.csv,0.24,0.15,0.11,0.17,0.25,0.37,0.21,0.55,0.02,0.04,0.14,0.11,0.63,0.25,,0.03,0.12
jbasic.csv,0.76,0.64,0.76,0.83,0.83,0.57,,0.95,0.98,0.25,1.0,0.32,0.87,1.0,0.91,0.71,0.85
jrefactory.csv,,0.91,0.74,0.4,0.6,0.71,0.83,0.91,0.07,0.75,0.36,0.62,0.93,0.57,0.62,1.0,0.86
jsecurity.csv,0.16,,0.08,0.23,0.08,0.2,0.02,0.03,0.05,0.08,0.14,0.32,0.13,0.0,0.0,0.03,0.12
libopenmetaverse.csv,0.79,0.78,0.18,,0.58,0.26,0.86,0.21,0.12,0.75,0.21,0.89,0.83,0.19,0.47,0.09,0.69
mobicents.csv,0.55,0.19,0.26,0.97,,0.89,0.74,0.43,0.96,0.67,0.86,0.62,0.67,0.94,0.78,0.56,0.44
opendvr.csv,0.61,0.19,0.34,1.0,0.32,0.34,0.35,0.28,0.6,0.42,1.0,0.81,0.33,,0.25,0.15,0.34
power-architect.csv,0.92,0.59,0.63,0.94,0.86,0.97,0.7,0.91,0.99,1.0,,0.76,0.7,1.0,1.0,1.0,0.77
sidekar.csv,0.0,0.0,,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wheat.csv,0.39,0.28,0.13,0.86,0.31,0.17,0.09,0.38,0.8,,0.43,0.35,0.17,0.49,0.28,0.91,0.4
wsmt.csv,0.13,0.11,0.03,0.09,0.38,0.0,0.17,0.09,0.2,0.04,0.29,0.27,,0.09,0.09,0.32,0.16
