,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.07,0.13,0.05,0.32,0.01,0.12,0.3,0.0,0.23,0.06,0.37,0.26,0.02,0.15,0.27
amateur-scrolls.csv,0.07,0.04,0.01,0.12,0.03,0.06,0.06,0.0,0.14,0.03,0.05,0.08,0.03,0.02,0.04
arianne.csv,0.21,0.24,0.34,0.44,0.47,0.0,0.27,0.4,0.36,0.19,0.14,0.33,0.3,0.5,0.27
bl-toolkit.csv,0.14,0.27,0.23,0.44,0.62,0.28,0.51,0.4,0.0,0.25,0.21,0.56,0.68,0.37,0.58
doomlegacy.csv,0.07,0.61,0.25,0.77,0.12,0.28,0.86,0.4,0.41,0.66,0.53,0.68,0.59,0.78,0.0
enlightenment.csv,0.36,0.35,0.33,0.52,0.32,0.43,0.51,0.2,0.55,0.19,0.03,0.46,0.47,0.3,0.35
fritzing.csv,0.43,0.4,0.24,0.45,0.01,0.33,0.35,0.6,0.32,0.28,0.56,0.44,0.67,0.3,0.27
gnukeda.csv,0.64,0.33,0.54,0.55,0.68,0.44,0.76,0.4,0.36,0.0,0.62,0.63,0.63,0.48,0.73
jlinalg.csv,0.0,0.45,0.59,0.59,0.84,0.59,0.7,0.8,0.59,0.31,0.48,0.58,0.42,0.8,0.92
knowledge.csv,0.14,0.53,0.36,0.91,0.39,0.34,0.98,0.0,0.77,0.5,0.84,0.88,0.7,0.76,0.96
massiv.csv,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playerstage.csv,0.21,0.22,0.2,0.31,0.25,0.22,0.01,0.4,0.14,0.12,0.67,0.32,0.77,0.22,0.12
psycle.csv,0.21,0.01,0.46,0.56,0.49,0.51,0.66,0.2,0.55,0.38,0.33,0.62,0.65,0.54,0.73
superwaba.csv,0.21,0.12,0.0,0.4,0.35,0.24,0.31,0.4,0.32,0.25,0.19,0.51,0.38,0.63,0.38
wxcrp.csv,0.93,0.14,0.64,0.0,0.77,0.76,0.19,0.0,0.09,0.09,0.03,0.14,0.32,0.04,0.19
