,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.65,0.43,0.07,0.1,0.17,1.0,0.18,0.13,0.26,0.05,0.43,0.14
emite.csv,0.66,0.25,0.11,0.15,0.24,0.67,0.16,0.22,0.27,0.04,1.0,0.23
geogebra.csv,0.76,1.0,0.29,0.33,0.52,0.6,0.72,0.19,0.27,0.33,0.5,1.0
hibernate.csv,0.65,0.38,0.09,0.17,0.29,0.66,0.3,0.18,0.99,0.07,0.34,0.25
httpcontentparser.csv,0.63,0.57,1.0,0.16,0.17,0.65,0.44,0.15,0.37,0.02,0.33,0.18
megameknet.csv,0.69,0.6,0.15,0.27,0.14,0.78,1.0,0.23,0.35,0.09,0.5,0.28
myfaces.csv,0.68,0.36,0.15,0.98,0.41,0.82,0.5,0.28,0.28,0.0,0.48,0.46
ns-3.csv,1.0,0.57,0.15,0.15,0.22,0.72,0.25,0.16,0.33,0.04,0.29,0.24
ondex.csv,0.72,0.54,0.22,0.17,0.4,0.81,0.67,1.0,0.29,0.0,0.45,0.39
pixel-commandos.csv,0.33,0.0,0.21,0.17,0.85,1.0,0.21,0.33,0.75,1.0,0.0,1.0
rsyslog.csv,0.69,1.0,0.11,0.2,0.28,0.73,0.36,0.2,0.37,0.06,0.54,0.32
wow-qrsk.csv,0.72,0.5,0.16,0.21,0.99,0.75,0.22,0.21,0.52,0.19,0.32,0.54
