,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.73,0.67,0.68,0.56,0.62,0.0,0.41,0.08,0.56,0.78,0.72,0.32
emite.csv,0.79,0.62,0.6,0.44,0.59,0.68,0.8,0.55,0.33,0.84,0.0,0.47
geogebra.csv,0.07,0.0,0.07,0.11,0.06,0.05,0.04,0.13,0.74,0.04,0.05,0.0
hibernate.csv,0.32,0.75,0.73,0.68,0.28,0.29,0.34,0.61,0.0,0.14,0.52,0.44
httpcontentparser.csv,0.61,0.42,0.0,0.34,0.63,0.16,0.09,0.28,0.21,0.46,0.2,0.42
megameknet.csv,0.48,0.5,0.27,0.27,0.73,0.5,0.0,0.47,0.41,0.32,0.18,0.54
myfaces.csv,0.23,0.29,0.1,0.0,0.06,0.29,0.05,0.17,0.75,0.18,0.28,0.12
ns-3.csv,0.0,0.54,0.43,0.67,0.57,0.95,0.54,0.48,0.42,0.53,0.3,0.58
ondex.csv,0.15,0.92,0.18,0.36,0.11,0.32,0.05,0.0,0.48,0.04,0.28,0.13
pixel-commandos.csv,0.03,0.0,0.07,0.02,0.0,0.0,0.05,0.01,0.01,0.0,0.02,0.0
rsyslog.csv,0.35,0.0,0.53,0.54,0.47,0.71,0.37,0.37,0.42,0.48,0.4,0.45
wow-qrsk.csv,0.24,0.38,0.22,0.23,0.0,0.24,0.66,0.14,0.1,0.14,0.38,0.11
