,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.56,1.0,0.14,0.39,0.07,0.32,0.34,0.26,0.81,0.28,1.0,0.04,0.26,0.08,0.65,0.28,0.0,0.46,1.0
badtrinity-zero.csv,0.1,0.0,0.29,0.43,0.79,0.59,0.85,0.99,0.57,0.23,0.03,0.71,0.58,0.2,0.29,0.67,0.5,0.08,0.76
boost.csv,0.26,0.44,0.36,0.35,0.49,0.32,0.25,0.25,0.34,0.51,0.24,0.58,0.45,0.2,0.44,0.3,0.0,0.29,0.54
critterding.csv,0.55,0.29,0.98,0.85,0.93,0.77,0.91,0.91,0.58,0.86,0.66,0.46,0.9,0.56,0.98,0.85,0.44,0.84,0.85
enzo.csv,0.8,0.59,0.4,0.88,0.91,0.47,0.87,0.83,0.92,0.61,0.45,0.83,0.5,0.28,0.85,0.71,0.89,0.68,0.74
etics.csv,0.13,0.29,0.19,0.11,0.11,0.15,0.33,0.24,0.17,0.37,0.17,0.08,0.48,0.16,0.35,0.07,0.0,0.06,0.5
fmri-dmt.csv,0.57,0.76,0.67,0.78,0.54,0.75,0.46,0.67,0.84,0.79,0.76,0.96,0.74,0.96,0.26,0.76,0.72,0.8,0.48
gusanos.csv,0.46,0.76,0.29,0.17,0.05,0.25,0.61,0.09,0.78,0.08,0.28,0.21,0.16,0.0,0.47,0.3,0.0,0.02,0.62
kftpgrabber.csv,0.0,0.29,0.02,0.13,0.08,0.14,0.27,0.02,0.2,0.25,0.21,0.0,0.23,0.04,0.53,0.08,0.0,0.03,0.82
kvs.csv,0.36,0.27,0.31,0.18,0.2,0.3,0.13,0.21,0.26,0.17,0.28,0.08,0.05,0.12,0.79,0.26,0.11,0.62,0.37
miranda.csv,0.0,0.0,0.12,0.22,0.59,0.3,0.55,0.7,0.6,0.04,0.0,0.5,0.29,0.0,0.1,0.58,1.0,0.0,0.34
modplug.csv,0.56,0.39,0.69,0.56,0.66,0.52,0.66,0.76,0.59,0.92,0.24,0.29,0.69,0.16,0.71,0.68,0.11,0.32,0.77
monetdb.csv,0.3,0.12,0.02,0.16,0.09,0.06,0.22,0.16,0.36,0.32,0.03,0.0,0.29,0.04,0.1,0.14,0.06,0.04,0.33
nativeclient.csv,0.62,0.37,0.31,0.44,0.5,0.41,0.62,0.7,0.44,0.7,0.21,0.12,0.34,0.24,0.55,0.54,0.28,0.28,0.58
ogrehg.csv,0.12,0.29,0.29,0.35,0.18,0.32,0.62,0.42,0.3,0.54,0.31,0.75,0.56,0.88,0.6,0.18,0.0,0.13,0.92
passwordsafe.csv,0.21,0.07,0.83,0.55,0.55,0.62,0.62,0.79,0.9,0.27,0.24,0.29,0.84,0.04,0.58,0.25,0.83,0.1,0.77
quarkplayer.csv,0.24,0.15,0.83,0.33,0.47,0.41,0.2,0.18,0.29,0.36,0.59,0.08,0.35,0.8,0.39,0.09,0.17,0.36,0.31
reactos-mirror.csv,0.27,0.51,0.98,0.44,0.59,0.71,0.46,0.54,0.39,0.7,0.76,0.46,0.6,0.72,0.61,0.36,1.0,0.51,0.99
sandiaportals.csv,0.42,0.61,0.83,0.35,0.11,0.45,0.45,0.34,0.32,0.6,0.69,0.08,0.73,0.68,0.31,0.2,0.22,0.22,0.61
