,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.4,1.0,1.0,0.0,0.34,0.09,0.12,0.35,0.5,0.0,0.0,0.14,0.49,0.0,0.0,0.6,0.0,0.68,0.53,0.0
baadengine.csv,0.98,0.05,0.98,0.02,0.34,0.34,0.27,0.45,0.13,0.05,0.17,0.13,0.44,0.23,0.81,0.5,0.03,0.8,0.82,0.03
biopax.csv,0.75,0.06,0.98,0.01,0.32,0.32,0.25,0.46,0.11,0.05,0.13,0.13,0.45,0.14,0.84,0.53,0.03,1.0,0.83,0.03
crux-framework.csv,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dataobjectsdotnet.csv,0.79,0.05,0.96,0.03,0.19,0.42,0.34,0.43,0.16,0.04,0.21,0.08,0.99,0.38,0.93,0.37,0.05,0.83,0.82,0.02
exl.csv,0.75,0.05,0.98,0.02,0.33,0.38,0.28,0.49,0.13,0.05,0.16,0.12,0.41,0.2,0.89,0.55,0.05,0.91,1.0,0.05
gdis.csv,0.77,0.07,0.98,0.02,0.24,0.38,0.26,0.55,0.13,0.05,0.13,0.12,0.44,0.18,0.97,0.5,0.02,0.9,0.8,0.04
gogoego.csv,0.85,0.0,1.0,0.0,0.27,0.51,1.0,0.62,0.13,0.09,0.38,0.07,0.45,0.11,0.78,0.27,0.02,0.68,0.65,0.06
httpcontentparser.csv,0.77,0.2,0.96,0.0,0.32,0.67,0.21,0.38,1.0,0.1,0.1,0.13,0.43,0.04,0.76,0.32,0.03,0.71,0.71,0.12
impala.csv,0.79,0.0,1.0,0.0,0.28,0.17,0.26,0.27,0.12,0.07,0.12,0.96,0.39,0.03,0.71,0.29,0.01,0.55,0.33,0.0
jgameai.csv,0.63,0.14,1.0,0.0,1.0,1.0,0.21,0.31,0.11,0.08,0.14,0.08,0.43,0.0,0.0,0.19,0.0,0.67,1.0,0.0
loki-lib.csv,0.79,0.08,0.97,0.02,0.3,0.41,0.32,0.5,0.12,0.06,0.2,0.11,0.44,0.17,0.9,0.96,0.02,0.71,0.75,0.04
snakeyaml.csv,0.76,0.16,0.99,0.0,0.33,0.3,0.24,0.35,0.06,0.05,1.0,0.1,0.45,0.1,0.81,0.37,0.0,0.79,0.77,0.06
tart.csv,0.32,0.0,0.99,0.0,0.0,0.0,0.21,0.31,1.0,1.0,0.06,0.13,0.44,0.0,0.0,0.0,0.1,1.0,0.86,0.0
vars-redux.csv,0.85,0.0,0.95,0.04,0.2,0.55,0.3,1.0,0.11,0.06,0.31,0.1,0.55,0.44,0.96,0.8,0.06,1.0,1.0,0.04
werx.csv,0.75,0.07,1.0,0.01,0.29,0.31,0.24,0.41,0.11,0.05,0.12,0.12,0.43,0.13,0.81,0.39,0.02,0.76,0.74,0.03
xbg.csv,0.79,0.0,1.0,0.33,0.0,0.5,0.26,0.75,0.06,0.17,0.2,0.14,0.76,1.0,1.0,0.0,0.04,0.0,0.0,0.0
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
zealos.csv,0.75,0.11,0.98,0.02,0.3,1.0,0.27,0.5,0.13,0.09,0.19,0.08,0.51,0.17,0.83,0.37,0.04,0.93,0.79,0.04
