,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,vars-redux.csv,httpcontentparser.csv,tart.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,xbg.csv,gdis.csv,loki-lib.csv,xqilla.csv,biopax.csv,exl.csv,crux-framework.csv
avifile.csv,0.98,0.0,0.91,1.06,0.65,1.0,0.94,0.87,0.9,1.0,1.0,0.89,0.78,1.03,1.0,0.9,1.0,0.86,0.97,1.02
baadengine.csv,0.05,0.92,1.02,0.61,0.62,0.84,0.77,0.71,0.64,0.87,0.63,0.81,0.71,0.44,1.0,0.54,0.94,0.65,0.63,0.86
biopax.csv,0.86,0.96,1.0,0.84,0.83,0.9,0.92,0.87,0.88,0.92,0.86,0.95,0.85,0.79,0.71,0.51,0.85,0.03,0.62,1.0
crux-framework.csv,0.99,1.0,1.0,1.0,0.92,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dataobjectsdotnet.csv,0.71,0.82,0.98,0.33,0.91,0.54,0.64,0.72,0.56,0.81,0.55,0.85,0.05,0.63,0.78,0.75,0.5,0.65,0.59,0.89
exl.csv,0.71,0.88,0.83,0.52,0.68,0.63,0.67,0.62,0.63,0.79,0.62,0.77,0.74,0.52,0.47,0.63,0.52,0.47,0.0,0.53
gdis.csv,0.82,0.77,1.0,0.57,0.8,0.65,0.8,0.54,0.78,0.82,0.86,1.0,0.92,0.55,0.15,0.57,0.84,0.4,0.77,0.75
gogoego.csv,0.53,1.0,0.89,1.03,0.81,0.47,0.06,0.53,0.9,0.54,0.57,0.93,0.69,0.8,0.91,0.88,0.83,0.86,0.87,0.43
httpcontentparser.csv,0.72,0.61,0.92,1.01,0.66,0.93,0.85,0.77,0.1,0.5,0.81,0.85,0.73,1.0,0.82,0.93,0.67,0.92,0.83,0.67
impala.csv,0.69,1.0,0.95,1.01,0.74,0.97,0.9,0.91,0.71,0.67,0.96,0.12,0.79,1.05,0.95,0.92,0.89,1.13,1.09,1.0
jgameai.csv,0.89,0.63,0.92,1.06,0.08,0.97,0.87,0.91,0.82,0.55,0.96,0.96,0.81,1.0,1.0,0.95,1.0,0.89,0.66,1.01
loki-lib.csv,0.63,0.7,0.87,0.46,0.7,0.6,0.57,0.6,0.67,0.67,0.52,0.76,0.7,0.58,0.43,0.07,0.87,0.82,0.73,0.64
snakeyaml.csv,0.69,0.42,0.63,1.3,0.73,0.88,0.73,0.88,0.89,0.92,0.0,0.78,0.74,0.92,1.0,0.96,1.02,0.72,0.85,0.44
tart.csv,0.99,1.0,0.67,1.01,1.0,1.0,0.94,0.93,0.95,0.0,0.92,0.85,0.87,1.01,1.0,1.0,0.67,0.96,0.86,1.01
vars-redux.csv,0.76,1.02,0.94,0.23,0.88,0.48,0.65,0.04,0.76,0.82,0.64,0.77,0.76,0.51,0.57,0.86,0.44,0.79,0.73,0.71
werx.csv,0.98,0.98,0.0,0.98,1.0,1.0,0.99,0.97,1.0,1.0,0.98,0.97,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.92
xbg.csv,0.93,1.0,0.96,0.02,1.0,0.97,0.94,0.94,0.95,0.8,0.96,0.92,0.89,0.12,0.98,1.0,0.7,1.0,1.0,1.0
xqilla.csv,1.0,1.0,1.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.33,1.0,1.0,1.0
zealos.csv,0.71,0.55,0.77,0.39,0.69,0.13,0.67,0.59,0.63,0.51,0.73,0.86,0.59,0.77,0.73,0.73,0.51,0.63,0.65,0.59
