,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.04,0.16,0.02,0.02,0.0
k3b.csv,0.21,0.25,0.32,0.24,0.04
myfaces.csv,0.86,0.93,0.75,0.01,0.83
robocode.csv,0.0,0.66,0.57,0.39,0.54
zildo.csv,0.14,0.0,0.23,0.25,0.17
