,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.94,0.51,0.88,0.0
k3b.csv,0.47,0.39,0.56,0.56,0.44
myfaces.csv,0.54,0.44,0.36,0.98,0.42
robocode.csv,0.52,0.36,0.43,0.47,0.42
zildo.csv,0.64,0.47,0.89,0.79,0.46
