,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,1.0,0.79,0.04,0.98,0.98
k3b.csv,0.65,0.46,0.69,0.38,0.04
myfaces.csv,0.9,0.96,0.75,0.17,0.84
robocode.csv,0.0,0.67,0.73,0.46,0.67
zildo.csv,0.71,0.02,0.86,0.58,0.61
