,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.23,0.96,0.02,0.02
k3b.csv,0.39,0.61,0.38,0.71,1.0
myfaces.csv,0.74,0.77,0.92,0.83,0.9
robocode.csv,1.0,0.86,0.54,0.75,0.6
zildo.csv,0.3,0.98,0.17,0.48,0.41
