,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.9,0.12,0.0,0.05,0.36,0.27,0.21,0.45,0.0,0.0,0.29,0.2,0.28
emono.csv,0.14,0.57,0.37,0.58,0.58,0.53,0.56,0.29,0.7,0.11,0.44,0.5,0.98
freedom-erp.csv,0.0,0.07,0.0,0.0,0.0,0.1,0.0,0.97,0.0,0.0,0.0,0.0,0.0
haggle.csv,0.0,0.12,0.0,0.68,0.99,0.1,0.45,0.18,0.61,0.5,0.82,0.54,0.39
jbpm.csv,0.15,0.97,0.0,0.16,0.28,0.1,0.21,0.04,0.0,0.11,0.0,0.2,0.0
jgossipforum.csv,0.07,0.34,0.38,0.05,0.04,0.0,0.05,0.0,1.0,0.11,0.15,0.32,0.05
joustsim.csv,0.14,0.29,0.0,0.3,0.53,0.1,0.27,0.04,0.62,1.0,0.7,0.53,0.42
log4net.csv,0.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.07,0.1,0.0,0.05,0.22,0.12,0.1,0.01,0.0,0.0,1.0,0.0,0.07
mediate.csv,0.54,0.46,0.37,0.39,0.56,0.95,0.42,0.41,0.9,0.85,0.73,0.47,0.55
pustefix.csv,0.51,0.65,0.57,0.89,0.1,0.21,0.2,0.29,0.64,0.11,0.15,0.0,0.17
synecdoche.csv,0.42,0.41,0.37,0.39,0.29,0.47,0.41,0.29,0.0,0.5,0.0,0.97,0.6
tmva.csv,0.51,0.48,0.58,0.48,0.53,0.52,0.98,0.05,0.5,0.26,0.76,0.61,0.61
