,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.93,0.06,0.0,0.05,0.43,0.35,0.29,0.51,0.0,0.0,0.2,0.25,0.36
emono.csv,0.12,0.21,0.05,0.41,0.66,0.56,0.7,0.33,0.06,0.04,0.17,0.52,0.98
freedom-erp.csv,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.97,0.0,0.0,0.0,0.0,0.0
haggle.csv,0.0,0.1,0.0,0.48,0.99,0.14,0.65,0.25,0.07,0.5,0.42,0.48,0.47
jbpm.csv,0.17,0.98,0.0,0.17,0.35,0.12,0.29,0.06,0.0,0.11,0.0,0.25,0.0
jgossipforum.csv,0.05,0.32,0.22,0.07,0.05,0.0,0.08,0.0,0.91,0.17,0.22,0.37,0.07
joustsim.csv,0.12,0.26,0.0,0.3,0.6,0.14,0.35,0.05,0.1,1.0,0.33,0.47,0.49
log4net.csv,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.08,0.1,0.0,0.08,0.3,0.18,0.15,0.02,0.0,0.0,1.0,0.0,0.11
mediate.csv,0.32,0.24,0.05,0.36,0.63,0.96,0.52,0.47,0.12,0.49,0.4,0.44,0.62
pustefix.csv,0.29,0.25,0.04,0.93,0.14,0.26,0.28,0.32,0.05,0.14,0.17,0.0,0.22
synecdoche.csv,0.32,0.18,0.06,0.35,0.35,0.62,0.51,0.33,0.0,0.23,0.0,0.97,0.71
tmva.csv,0.31,0.22,0.05,0.34,0.6,0.7,0.99,0.74,0.04,0.24,0.35,0.55,0.71
