,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.0,0.28,0.21,0.29,0.34,0.13,0.13,0.33,0.12,0.05,0.2,0.14,0.17
emono.csv,0.25,0.64,0.31,0.65,0.59,0.57,0.65,0.44,0.68,0.6,0.71,0.79,0.02
freedom-erp.csv,0.02,0.02,0.02,0.0,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.0
haggle.csv,0.02,0.12,0.12,0.6,0.02,0.07,0.78,0.11,0.34,0.07,0.37,0.49,0.36
jbpm.csv,0.08,0.0,0.33,0.15,0.29,0.23,0.18,0.07,0.05,0.1,0.0,0.14,0.0
jgossipforum.csv,0.33,0.07,0.04,0.05,0.02,0.07,0.05,0.0,0.0,0.0,0.0,0.14,0.02
joustsim.csv,0.24,0.09,0.12,0.18,0.32,0.0,0.25,0.19,0.25,0.0,0.45,0.53,0.36
log4net.csv,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
madman.csv,0.11,0.07,0.08,0.02,0.02,0.03,0.05,0.04,0.0,0.03,0.0,0.07,0.05
mediate.csv,0.51,0.29,0.31,0.23,0.27,0.03,0.22,0.3,0.35,0.33,0.33,0.4,0.43
pustefix.csv,0.7,0.57,0.64,0.0,0.15,0.27,0.15,0.54,0.65,0.03,0.06,0.16,0.19
synecdoche.csv,0.24,0.39,0.22,0.24,0.39,0.8,0.22,0.4,0.2,0.73,0.39,0.02,0.67
tmva.csv,0.78,0.83,0.62,0.5,0.54,0.8,0.0,0.99,0.8,0.93,0.61,0.42,0.64
