,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.38,0.4,0.0,0.34,0.51,0.36,0.72,0.14,0.51,0.4,0.52,0.37,0.31,0.38
autowikibrowser.csv,0.31,0.56,0.15,0.54,0.59,0.63,0.39,0.28,0.52,0.49,0.15,0.22,0.56,0.22
cities3d.csv,0.37,0.02,0.1,0.67,0.29,0.28,0.03,0.2,0.0,0.2,0.24,0.3,0.0,0.0
kmatplot.csv,0.28,0.14,0.75,0.67,0.51,0.66,0.06,0.26,0.05,0.24,0.61,0.41,0.09,0.07
libarchive.csv,0.72,0.81,0.4,0.52,0.83,0.56,0.64,0.24,0.67,0.22,0.52,0.63,0.62,0.21
lphant.csv,0.26,0.81,0.35,0.43,0.71,0.52,0.69,0.34,0.69,0.34,0.24,0.48,0.28,0.21
mob-sen-plat.csv,0.57,0.81,0.15,0.72,0.73,0.64,0.47,0.56,0.48,0.76,0.61,0.46,0.31,0.22
mscore.csv,0.76,0.93,0.5,0.86,0.98,0.57,0.55,0.27,0.7,0.58,0.79,0.72,0.66,0.66
pidgin.csv,0.59,0.33,0.05,0.49,0.46,0.22,0.33,0.21,0.51,0.57,0.36,0.24,0.31,0.46
quickfast.csv,0.53,0.79,0.8,0.45,0.61,0.82,0.84,0.82,0.74,0.49,0.91,0.96,0.22,0.82
raygina.csv,0.29,0.28,0.0,0.12,0.2,0.27,0.03,0.22,0.3,0.12,0.76,0.26,0.03,0.69
riff-evolve.csv,0.36,0.3,0.0,0.4,0.34,0.29,0.17,0.08,0.34,0.24,0.33,0.3,0.22,0.07
upp-mirror.csv,0.28,0.33,0.1,0.27,0.34,0.07,0.22,0.22,0.2,0.27,0.12,0.22,0.34,0.13
wishmaster.csv,0.25,0.16,0.25,0.47,0.41,0.49,0.03,0.4,0.23,0.4,0.06,0.11,0.28,0.03
