,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.4,0.17,0.25,0.39,0.72,0.5,0.34,0.1,0.16,0.46,0.78,0.14,0.5,0.94
bibedt.csv,0.99,0.75,0.1,0.55,0.83,0.62,0.54,0.7,0.61,0.46,0.05,0.14,0.38,0.49
brlcad.csv,0.74,0.25,0.43,0.05,0.78,0.25,0.4,0.5,0.16,0.46,0.24,0.14,0.52,0.37
co-ode-owl-plugins.csv,0.3,0.67,0.57,0.93,0.72,1.0,0.34,0.3,0.42,0.69,0.84,0.57,0.52,0.94
firebreath.csv,0.78,0.83,0.68,0.56,0.33,0.38,0.65,0.7,0.48,0.62,0.14,0.43,0.45,0.63
fltk.csv,0.18,0.67,0.62,0.67,0.78,0.94,0.29,0.0,0.52,0.46,0.49,0.43,0.62,0.29
glas.csv,0.44,0.75,0.55,0.59,0.72,1.0,0.69,0.5,0.71,0.77,0.7,0.57,0.52,0.57
gretl.csv,0.32,0.67,0.57,0.78,0.78,1.0,0.72,0.6,0.68,0.92,0.81,0.57,0.57,0.71
konversation.csv,0.18,0.75,0.73,0.44,0.22,0.88,0.36,0.8,0.48,0.69,0.03,0.43,0.43,0.11
micomt.csv,0.84,0.83,0.87,0.81,0.94,0.5,0.59,0.8,0.55,0.85,0.59,0.71,0.81,0.71
openxava.csv,0.47,0.75,0.33,0.43,0.22,0.88,0.57,0.6,0.42,0.23,0.11,0.71,0.24,0.51
sumatrapdf.csv,0.57,0.75,0.9,0.93,0.94,1.0,0.49,0.8,0.71,0.85,0.97,0.86,1.0,0.86
tweetsharp.csv,0.57,0.67,0.77,0.37,0.83,0.38,0.14,0.4,0.42,0.62,0.73,0.14,0.76,0.66
wxcode.csv,0.15,0.58,0.25,0.5,0.06,0.56,0.35,0.3,0.45,0.31,0.03,1.0,0.17,0.03
