,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.67,0.62,0.02,0.94,0.84,0.56,0.69,0.8,0.78,1.02,0.71,0.75
miranda-icq.csv,1.03,0.69,0.85,0.72,0.69,0.83,0.85,0.62,0.08,0.76,0.75,0.84
pclasses.csv,0.09,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.06
pfaedit.csv,0.82,0.67,0.57,0.46,0.0,0.94,0.71,0.62,0.71,0.62,0.7,0.63
rockbox.csv,0.7,0.57,0.81,0.49,0.7,0.89,0.71,0.79,0.73,1.03,0.62,0.0
theresa.csv,1.0,0.96,1.0,0.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0
thrust.csv,0.97,0.87,0.54,0.64,0.68,0.12,0.83,0.62,0.79,0.65,0.61,0.76
tktoolkit.csv,0.75,0.65,0.88,0.52,0.87,0.72,0.74,0.13,0.69,1.07,0.66,0.79
trinitycore.csv,0.74,0.93,0.98,0.52,0.51,0.84,0.86,0.64,0.95,0.85,0.05,0.79
tzod.csv,0.64,0.0,0.72,0.56,0.49,0.72,0.69,0.69,0.58,1.06,0.66,0.78
yaprm.csv,0.64,0.72,0.84,0.26,0.72,0.69,0.03,0.85,0.74,0.61,0.63,0.7
