,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.32,0.5,0.99,0.11,0.53,0.48,0.61,0.19,0.39,0.87,0.33,0.53
miranda-icq.csv,0.0,0.4,0.25,0.12,0.45,0.26,0.25,0.25,0.94,0.39,0.3,0.25
pclasses.csv,0.95,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.24
pfaedit.csv,0.24,0.42,0.64,0.19,1.0,0.11,0.45,0.25,0.33,0.55,0.35,0.52
rockbox.csv,0.24,0.52,0.63,0.17,0.47,0.15,0.58,0.2,0.34,0.85,0.4,1.0
theresa.csv,0.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
thrust.csv,0.06,0.22,0.61,0.16,0.66,0.91,0.29,0.25,0.27,0.52,0.39,0.33
tktoolkit.csv,0.22,0.43,0.21,0.19,0.49,0.32,0.43,0.93,0.34,0.76,0.36,0.34
trinitycore.csv,0.27,0.12,0.05,0.16,0.64,0.22,0.24,0.3,0.09,0.26,0.97,0.35
tzod.csv,0.29,1.0,0.56,0.18,0.77,0.32,0.56,0.22,0.42,0.78,0.36,0.31
yaprm.csv,0.29,0.38,0.27,0.32,0.43,0.39,0.99,0.14,0.31,0.56,0.39,0.42
