,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.36,0.45,0.62,0.44,0.56,0.56,0.55,0.24,0.54,0.23,0.1,0.52,0.42,0.59,0.52,0.58,0.4,0.76,0.54,0.13
apertium.csv,0.57,0.28,0.31,0.25,0.42,0.46,0.43,0.06,0.49,0.75,0.83,0.07,0.21,0.67,0.17,0.32,0.43,0.24,0.0,0.55
beast-mcmc.csv,0.71,0.65,0.34,0.75,0.63,0.58,0.63,0.53,0.63,0.55,0.37,0.38,0.17,0.48,0.47,0.55,0.45,0.64,0.09,0.59
bigdata.csv,0.38,0.47,0.39,0.37,0.61,0.57,0.35,0.0,0.55,0.28,0.05,0.51,0.49,0.49,0.17,0.72,0.63,0.12,0.31,0.55
cuberok.csv,0.53,0.38,0.33,0.45,0.37,0.57,0.41,0.74,0.62,0.36,0.35,0.45,0.59,0.4,0.4,0.61,0.8,0.42,0.17,0.56
exist.csv,0.62,0.27,0.45,0.7,0.71,0.53,0.37,0.62,0.41,0.56,0.39,0.63,0.75,0.48,0.48,0.52,0.25,0.66,0.38,0.45
icescrum.csv,0.66,0.38,0.33,0.41,0.46,0.42,0.48,0.45,0.59,0.44,0.56,0.07,0.26,0.65,0.48,0.4,0.2,0.41,0.21,0.79
jbasic.csv,0.63,0.62,0.43,0.58,0.48,0.54,0.55,0.56,0.62,0.75,0.27,0.58,0.24,0.47,0.13,0.47,0.33,0.59,0.32,0.51
jgnash.csv,0.64,0.65,0.47,0.71,0.61,0.4,0.61,0.54,0.76,0.29,0.32,0.56,0.47,0.57,0.54,0.63,0.52,0.52,0.21,0.37
jrefactory.csv,0.45,0.48,0.69,0.39,0.36,0.2,0.33,0.53,0.36,0.42,0.5,0.54,0.16,0.42,0.52,0.4,0.27,0.52,0.39,0.43
jsecurity.csv,0.37,0.57,0.36,0.73,0.19,0.62,0.4,0.3,0.63,0.17,0.19,0.22,0.49,0.52,0.17,0.29,0.11,0.24,0.11,0.25
libopenmetaverse.csv,0.05,0.13,0.13,0.0,0.21,0.6,0.0,0.35,0.05,0.0,0.61,0.37,0.48,0.0,0.0,0.0,0.0,0.57,0.3,0.0
mobicents.csv,0.74,0.67,0.47,0.53,0.57,0.43,0.67,0.64,0.66,0.67,0.69,0.47,0.61,0.66,0.59,0.62,0.6,0.56,0.5,0.59
mp-rechnungs-und-kundenverwaltung.csv,0.55,0.4,0.49,0.48,0.41,0.37,0.52,0.37,0.44,0.59,0.78,0.36,0.22,0.62,0.09,0.47,0.29,0.28,0.27,0.41
opendvr.csv,0.75,0.64,0.39,0.58,0.65,0.0,0.63,0.48,0.66,0.53,0.48,0.42,0.69,0.53,0.64,0.48,0.23,0.42,0.66,0.66
openefm.csv,0.59,0.71,0.38,0.54,0.6,0.37,0.58,0.61,0.6,0.31,0.62,0.47,0.37,0.48,0.62,0.64,0.2,0.45,0.17,0.41
sidekar.csv,0.0,0.52,0.0,0.0,0.8,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
wheat.csv,0.62,0.59,0.48,0.59,0.55,0.46,0.55,0.55,0.53,0.54,0.64,0.35,0.27,0.54,0.69,0.51,0.33,0.63,0.54,0.66
wsmt.csv,0.11,0.21,0.02,0.12,0.06,0.07,0.19,0.11,0.1,0.06,0.1,0.14,0.1,0.05,0.13,0.22,0.78,0.06,0.06,0.0
yarp0.csv,0.39,0.56,0.32,0.56,0.51,0.54,0.44,0.49,0.0,0.37,0.83,0.64,0.55,0.58,0.59,0.37,0.57,0.47,0.31,0.3
