,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.33,0.44,0.29,0.0,0.52,0.8,0.49,0.57,0.61,0.5,0.74,0.41,0.29
archive-crawler.csv,0.31,0.32,0.26,0.2,0.5,0.71,0.7,0.54,0.58,0.51,0.59,0.21,0.17
biodwh.csv,0.45,0.45,0.12,0.0,0.24,0.06,0.38,0.17,0.5,0.27,0.4,0.38,0.51
blue-c.csv,0.32,0.54,0.23,0.0,0.69,0.83,0.65,0.65,0.64,0.44,0.7,0.38,0.22
dynalloy.csv,0.29,0.71,0.17,0.0,0.55,0.6,0.53,0.48,0.62,0.45,0.68,0.27,0.32
jcae.csv,0.28,0.09,0.47,0.0,0.33,0.65,0.34,0.32,0.43,0.53,0.4,0.46,0.3
kmatplot.csv,0.56,0.38,0.23,0.41,0.0,0.71,0.54,0.48,0.42,0.44,0.5,0.37,0.23
mscore.csv,0.37,0.55,0.19,0.31,0.74,0.74,0.73,0.68,0.66,0.49,0.59,0.4,0.27
nosleepsoftware.csv,0.12,0.0,0.0,0.55,0.0,0.06,0.45,0.12,0.08,0.21,0.14,0.04,0.18
openmalaria.csv,0.39,0.48,0.19,0.33,0.7,0.74,0.74,0.71,0.68,0.47,0.55,0.37,0.28
popeye-chess.csv,0.42,0.41,0.13,0.11,0.68,0.69,0.65,0.54,0.63,0.46,0.52,0.41,0.19
riff-evolve.csv,0.42,0.51,0.26,0.0,0.67,0.54,0.53,0.44,0.69,0.37,0.49,0.49,0.33
virtuoso.csv,0.33,0.53,0.19,0.41,0.71,0.71,0.7,0.63,0.64,0.47,0.56,0.47,0.26
