,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.23,0.47,0.18,0.0,0.59,0.8,0.88,0.54,0.57,0.39,0.68,0.54,0.25
archive-crawler.csv,0.26,0.36,0.16,0.16,0.76,0.72,0.75,0.72,0.51,0.46,0.5,0.43,0.12
biodwh.csv,0.45,0.84,0.07,0.0,0.83,1.0,0.86,0.67,0.63,0.25,0.5,0.25,0.37
blue-c.csv,0.2,0.4,0.13,0.0,0.55,0.86,0.77,0.56,0.51,0.33,0.58,0.24,0.15
dynalloy.csv,0.18,0.65,0.1,0.0,0.44,1.0,0.58,0.41,0.56,0.36,0.54,0.18,0.22
jcae.csv,0.33,0.21,0.32,0.0,0.88,0.84,0.84,0.64,0.77,0.44,0.42,0.65,0.24
kmatplot.csv,0.41,0.4,0.13,0.25,0.0,0.55,0.67,0.55,0.59,0.34,0.42,0.23,0.15
mscore.csv,0.23,0.38,0.1,0.22,0.63,0.78,0.79,0.59,0.56,0.33,0.42,0.25,0.16
nosleepsoftware.csv,0.67,0.0,0.0,0.46,0.0,0.25,0.59,0.38,0.5,0.25,0.25,0.2,0.2
openmalaria.csv,0.26,0.37,0.11,0.22,0.74,0.72,0.68,0.69,0.54,0.33,0.4,0.25,0.16
popeye-chess.csv,0.32,0.5,0.08,0.09,0.7,0.82,0.83,0.66,0.74,0.35,0.45,0.29,0.16
riff-evolve.csv,0.3,0.63,0.15,0.0,0.71,1.0,0.86,0.67,0.73,0.35,0.46,0.35,0.21
virtuoso.csv,0.21,0.36,0.1,0.26,0.73,0.55,0.61,0.46,0.49,0.31,0.42,0.42,0.16
