,logicmail.csv,mclient-mume.csv,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,autofac.csv,mycila.csv,azureus.csv,octet.csv
adonthell.csv,0.0,0.0,5.0,5.0,2.0,0.0,18.0,2.0,6.0,3.0,0.0,8.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10.0,12.0,1.0,0.0,0.0,35.0,8.0,7.0,0.0,0.0,4.0,3.0,0.0,1.0,28.0,23.0,0.0,20.0,2.0,14.0,1.0,28.0,6.0,25.0,0.0,0.0,0.0,29.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,67.0,0.0,1.0,1.0,22.0,6.0,10.0,2.0,8.0,3.0,5.0,4.0,1.0
ambulant.csv,2.0,1.0,0.0,2.0,4.0,0.0,38.0,1.0,42.0,12.0,0.0,11.0,1.0,5.0,0.0,3.0,0.0,12.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,35.0,70.0,35.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,32.0,1.0,54.0,4.0,0.0,1.0,153.0,70.0,15.0,0.0,10.0,0.0,4.0,20.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,18.0,10.0,2.0,0.0,1.0,55.0,3.0,0.0,2.0,2.0,0.0,8.0,25.0,5.0
apertium.csv,6.0,56.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,2.0,4.0,0.0,9.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,64.0,1.0,9.0,0.0,0.0,4.0,0.0,0.0,4.0,7.0,6.0,10.0,133.0,2.0,8.0,0.0,224.0,3.0,107.0,0.0,0.0,0.0,10.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,67.0,66.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,1.0,1.0,9.0,10.0
array4j.csv,0.0,2.0,0.0,3.0,4.0,1.0,34.0,6.0,22.0,8.0,2.0,24.0,0.0,0.0,0.0,4.0,0.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,7.0,0.0,3.0,0.0,10.0,0.0,4.0,1.0,2.0,0.0,5.0,1.0,0.0,28.0,0.0,64.0,17.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,55.0,24.0,0.0,22.0,4.0,0.0,3.0,98.0,22.0,15.0,0.0,54.0,0.0,7.0,11.0,5.0,1.0,0.0,2.0,2.0,0.0,1.0,13.0,67.0,1.0,0.0,8.0,29.0,3.0,6.0,3.0,2.0,4.0,2.0,6.0,8.0
autofac.csv,1.0,0.0,8.0,0.0,2.0,0.0,21.0,4.0,9.0,5.0,0.0,7.0,1.0,0.0,1.0,1.0,6.0,7.0,15.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,39.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,10.0,2.0,20.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,24.0,1.0,56.0,4.0,0.0,2.0,61.0,7.0,25.0,0.0,1.0,0.0,22.0,14.0,4.0,2.0,0.0,2.0,0.0,2.0,7.0,1.0,10.0,2.0,0.0,0.0,33.0,3.0,0.0,1.0,2.0,0.0,15.0,12.0,5.0
avisynth2.csv,0.0,0.0,8.0,59.0,0.0,0.0,2.0,98.0,7.0,0.0,0.0,4.0,1.0,0.0,2.0,56.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,74.0,4.0,97.0,1.0,0.0,1.0,51.0,59.0,1.0,0.0,4.0,2.0,107.0,0.0,0.0,0.0,0.0,99.0,2.0,0.0,0.0,1.0,0.0,111.0,76.0,71.0,0.0,78.0,1.0,94.0,1.0,133.0,84.0,0.0,2.0,224.0,5.0,107.0,367.0,124.0,121.0,65.0,1.0,1.0,0.0,0.0,68.0,225.0,0.0,166.0,56.0,67.0,0.0,0.0,2.0,0.0,1.0,1.0,78.0,2.0,3.0,51.0,7.0,57.0
azureus.csv,0.0,2.0,0.0,3.0,0.0,0.0,16.0,15.0,2.0,5.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,11.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,6.0,22.0,5.0,3.0,0.0,3.0,0.0,0.0,1.0,35.0,14.0,54.0,19.0,4.0,7.0,3.0,64.0,27.0,8.0,0.0,47.0,0.0,5.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,67.0,1.0,0.0,4.0,28.0,11.0,3.0,5.0,7.0,9.0,3.0,2.0,2.0
beast-mcmc.csv,1.0,3.0,10.0,2.0,2.0,0.0,16.0,4.0,3.0,1.0,0.0,7.0,1.0,0.0,0.0,5.0,1.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,20.0,0.0,18.0,0.0,0.0,0.0,10.0,0.0,11.0,0.0,11.0,1.0,63.0,2.0,0.0,2.0,59.0,1.0,9.0,0.0,1.0,0.0,21.0,13.0,3.0,2.0,0.0,2.0,0.0,1.0,4.0,19.0,9.0,2.0,0.0,0.0,41.0,8.0,0.0,0.0,0.0,0.0,18.0,21.0,6.0
benojt.csv,0.0,2.0,0.0,4.0,4.0,0.0,40.0,1.0,39.0,10.0,0.0,11.0,1.0,0.0,0.0,4.0,0.0,7.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,35.0,0.0,30.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,35.0,0.0,71.0,4.0,0.0,1.0,129.0,32.0,18.0,0.0,9.0,0.0,10.0,20.0,5.0,3.0,0.0,2.0,0.0,1.0,1.0,25.0,10.0,2.0,0.0,1.0,64.0,3.0,0.0,3.0,2.0,0.0,8.0,20.0,5.0
bigdata.csv,0.0,2.0,0.0,1.0,0.0,0.0,66.0,7.0,2.0,4.0,0.0,19.0,0.0,2.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,51.0,1.0,19.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,4.0,14.0,0.0,35.0,0.0,9.0,3.0,0.0,1.0,2.0,0.0,5.0,12.0,10.0,7.0,22.0,3.0,5.0,7.0,6.0,8.0,11.0,0.0,3.0,0.0,39.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0,3.0,1.0,1.0,0.0,4.0,9.0,0.0,0.0,0.0,9.0,51.0,5.0,4.0
