,logicmail.csv,mclient-mume.csv,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,autofac.csv,mycila.csv,azureus.csv,octet.csv
adonthell.csv,0.55,0.23,0.3,0.64,0.95,0.54,0.4,0.6,0.63,0.67,0.39,0.64,0.34,0.92,0.44,0.41,0.29,0.68,0.77,0.93,0.37,0.57,0.31,0.95,0.63,0.97,0.6,0.33,0.38,0.25,0.7,0.57,0.15,0.85,0.8,0.63,0.56,0.12,0.54,0.15,0.5,0.48,1.0,0.92,0.85,0.76,1.0,0.15,0.93,0.44,0.56,0.27,0.46,0.88,0.33,0.65,0.61,0.7,0.2,0.45,0.38,0.63,1.0,0.31,0.25,0.35,0.52,0.27,0.57,0.38,0.68,0.37,0.99,0.38,0.0,0.4,0.24,0.7,0.64,0.56,0.4,0.34,0.63,0.69,0.4,0.16,0.57
ambulant.csv,0.03,0.6,0.21,0.82,0.4,0.13,0.6,0.89,0.33,0.41,0.76,0.59,0.39,0.42,0.76,0.73,0.7,0.08,0.89,0.57,0.61,0.76,0.29,0.82,0.26,0.55,0.63,0.9,0.8,0.5,0.07,0.55,0.46,0.58,0.14,0.6,0.67,0.35,0.73,0.3,0.75,0.17,1.0,0.0,0.68,0.29,0.77,0.9,0.79,0.55,0.56,0.73,0.62,0.38,0.67,0.39,0.56,0.43,1.0,0.0,0.38,0.79,0.88,0.59,0.25,0.6,0.59,0.59,0.78,0.56,0.79,0.99,0.47,0.5,1.0,0.65,0.92,0.64,0.56,0.69,0.53,0.86,0.83,0.59,0.9,0.39,0.71
apertium.csv,0.82,0.0,0.67,0.27,0.22,0.53,0.8,0.51,0.48,0.67,0.35,0.26,0.31,0.42,0.39,0.05,0.54,0.8,0.23,0.07,0.5,0.29,0.37,0.14,0.68,0.08,0.15,0.12,0.25,0.5,0.34,0.15,0.4,0.54,0.54,0.03,0.2,0.76,0.22,0.45,0.5,0.23,0.0,0.81,0.52,0.24,0.1,0.48,0.17,0.29,0.12,0.59,0.85,0.65,0.0,0.13,0.56,0.3,0.0,0.55,0.0,0.35,0.25,0.08,0.25,0.85,0.52,0.34,0.3,0.41,0.22,0.59,0.41,0.12,0.0,0.0,0.15,0.24,0.52,0.06,0.72,0.48,0.32,0.21,0.2,0.64,0.29
array4j.csv,0.42,0.97,0.72,1.0,0.98,0.48,0.8,0.31,0.81,0.71,0.31,0.9,0.75,0.94,0.77,0.86,0.62,0.8,0.87,0.79,0.87,0.83,0.74,0.55,0.63,0.56,0.43,0.51,0.9,0.5,0.89,0.52,0.75,0.27,0.7,0.47,0.46,0.18,0.27,0.25,0.25,0.6,0.0,0.81,0.44,0.41,0.59,0.55,0.62,0.76,0.69,0.27,0.54,0.58,1.0,0.91,0.94,0.53,0.8,0.64,0.5,0.15,0.88,0.44,1.0,0.5,0.48,0.63,0.61,0.9,0.36,0.51,0.94,0.12,0.0,0.7,0.37,0.52,0.32,0.75,0.43,0.69,0.49,0.86,0.9,0.46,0.57
autofac.csv,0.79,0.27,0.36,0.55,0.78,0.37,1.0,0.67,0.56,0.64,0.65,0.69,0.55,0.33,0.82,0.41,0.57,0.36,0.74,0.36,0.63,0.65,0.63,0.23,0.84,0.66,0.61,0.63,0.8,0.5,0.32,0.85,0.5,0.81,0.14,0.22,0.46,0.82,0.7,0.15,0.75,0.62,1.0,0.73,0.49,0.65,0.54,0.72,0.66,0.57,0.56,0.95,0.69,0.81,0.33,0.91,0.89,0.53,0.8,0.91,0.75,0.58,0.88,0.36,0.25,0.55,0.85,0.42,0.73,0.69,0.38,0.96,0.08,0.5,1.0,0.72,0.73,0.64,0.6,0.75,0.57,0.69,0.68,0.76,0.4,0.7,0.57
avisynth2.csv,0.15,0.03,0.34,0.0,0.22,0.04,0.2,0.0,0.04,0.08,0.04,0.03,0.09,0.22,0.04,0.0,0.1,0.08,0.05,0.0,0.07,0.24,0.2,0.0,0.21,0.0,0.08,0.08,0.02,0.0,0.0,0.12,0.21,0.27,0.26,0.0,0.04,0.12,0.03,0.1,0.0,0.12,1.0,0.08,0.11,0.47,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.21,0.0,0.0,0.17,0.2,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.15,0.19,0.03,0.08,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.01,0.03,0.16,0.19,0.02,0.0,0.02,0.14,0.0,0.23,0.0
azureus.csv,1.0,0.9,0.57,0.73,0.62,0.91,0.4,0.53,0.63,0.61,0.67,0.64,0.56,0.47,0.55,0.82,0.4,0.68,0.62,0.57,0.28,0.4,1.0,0.59,0.79,0.27,0.61,0.31,0.68,0.5,0.73,0.68,0.6,0.5,0.64,0.47,0.52,0.82,0.65,0.5,0.88,0.72,1.0,0.88,0.69,0.47,0.48,0.6,0.93,0.69,0.75,0.41,0.92,0.85,0.67,0.96,0.56,0.87,0.4,1.0,0.25,0.59,0.25,0.84,1.0,0.9,0.7,0.47,0.53,0.67,0.52,0.25,0.74,1.0,0.0,0.75,0.49,0.7,0.8,0.69,0.49,0.21,0.37,0.62,0.4,0.77,0.71
beast-mcmc.csv,0.73,0.8,0.57,0.64,0.85,0.68,0.6,0.91,0.3,0.74,0.69,0.74,0.61,0.47,0.73,0.55,0.73,0.56,0.86,0.68,0.48,0.68,0.46,0.59,0.84,0.55,0.77,0.63,0.48,0.75,0.55,0.78,0.08,1.0,0.62,0.6,0.42,0.76,0.81,0.4,1.0,0.65,1.0,0.73,0.59,0.24,0.75,0.92,0.69,0.49,0.75,1.0,0.92,0.87,0.67,0.96,0.78,0.77,1.0,0.91,0.5,0.74,0.75,0.81,0.25,0.55,0.93,0.41,0.7,1.0,0.64,0.93,0.64,0.88,1.0,0.92,0.67,0.73,0.68,0.56,0.79,0.72,0.61,0.45,0.5,0.79,0.71
benojt.csv,1.0,1.0,0.97,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,0.98,1.0,0.97,0.88,1.0,1.0,0.98,0.97,0.94,1.0,1.0,1.0,0.96,0.9,0.9,1.0,0.98,0.98,0.96,1.0,1.0,1.0,0.92,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.88,0.64,1.0,0.9,0.67,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.97,1.0,0.99,1.0,1.0,1.0,0.92,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.98,1.0
bigdata.csv,0.45,1.0,0.34,0.91,0.68,0.45,0.0,0.69,0.59,0.32,0.45,0.44,0.47,0.44,0.32,1.0,0.19,0.04,0.44,0.89,0.2,0.72,0.29,0.18,0.63,0.23,0.77,0.82,0.57,0.0,0.32,0.6,0.21,0.38,0.18,0.23,0.57,0.29,0.49,0.25,0.88,0.1,1.0,0.31,0.36,0.18,0.94,0.22,1.0,0.45,0.62,0.18,0.31,0.54,0.67,0.7,0.33,0.6,0.4,0.45,0.88,0.34,0.5,0.82,0.25,0.2,0.41,0.29,0.53,0.44,0.34,0.53,0.22,1.0,0.5,0.7,0.2,0.33,0.6,0.75,0.45,0.83,0.39,0.34,0.0,0.32,0.43
calcubetimer.csv,0.88,0.0,1.0,0.18,0.35,0.82,0.6,0.6,0.41,0.53,0.45,0.21,0.52,0.75,0.5,0.18,0.81,0.52,0.59,0.11,0.91,0.32,0.37,0.82,0.63,0.22,0.19,0.0,0.38,0.5,0.84,0.32,0.86,0.46,1.0,0.73,0.16,0.76,0.16,0.8,0.88,0.98,0.0,0.81,0.34,0.18,0.03,0.98,0.21,0.39,0.31,0.91,0.92,0.71,0.33,0.26,1.0,0.43,0.0,0.73,0.12,0.53,0.0,0.18,0.75,0.9,0.33,0.73,0.62,0.18,0.57,0.52,1.0,0.12,0.0,0.02,0.27,0.3,0.64,0.31,0.85,0.03,0.46,0.21,0.4,1.0,0.29
chaperon.csv,0.7,0.23,0.77,0.27,0.52,0.18,0.4,0.51,0.07,0.62,0.22,0.13,0.36,0.5,0.43,0.27,0.46,0.16,0.62,0.54,0.59,0.47,0.4,0.14,0.53,0.16,0.41,0.24,0.3,1.0,0.32,0.55,0.2,0.62,0.8,0.17,0.18,0.0,0.19,0.55,0.5,0.38,0.33,0.42,0.27,0.71,0.34,0.7,0.38,0.21,0.12,0.32,0.69,0.52,0.33,0.3,0.39,0.27,0.8,0.27,0.75,0.37,0.62,0.39,0.25,0.5,0.37,0.39,0.22,0.82,0.22,0.11,0.18,0.25,0.0,0.1,0.49,0.48,0.4,0.56,0.53,0.55,0.12,0.45,0.3,0.48,0.14
chrysalis.csv,0.79,0.27,0.69,0.64,0.72,0.72,0.8,0.8,0.89,0.59,0.45,0.77,0.84,0.47,0.5,0.45,0.24,0.4,0.27,0.36,0.5,0.55,0.11,0.23,0.68,0.31,0.77,0.57,0.92,0.25,0.57,0.5,0.7,0.62,0.44,0.18,0.42,0.76,0.46,0.7,0.88,0.32,1.0,0.5,0.48,0.18,0.3,0.4,0.48,0.59,0.5,0.32,0.69,0.58,0.67,0.17,0.5,0.57,0.0,0.73,0.75,0.36,0.38,0.31,0.25,0.75,0.37,0.46,0.38,0.9,0.4,0.75,0.66,0.62,0.0,0.15,0.23,0.24,0.88,0.19,0.64,0.66,0.41,0.45,0.2,0.8,0.29
codesmith.csv,0.03,0.63,0.25,0.45,0.57,0.34,0.0,0.24,0.19,0.15,0.25,0.18,0.61,0.33,0.56,0.5,0.63,0.0,0.54,0.75,0.5,0.25,0.49,0.55,0.32,0.78,0.66,0.8,0.48,0.25,0.43,0.65,0.34,0.04,0.1,0.43,0.04,0.0,0.19,0.1,0.12,0.3,0.0,0.0,0.12,0.12,0.85,0.25,0.28,0.17,0.19,0.18,0.08,0.0,0.0,0.74,0.17,0.2,0.4,0.09,0.88,0.33,0.0,0.52,0.75,0.05,0.41,0.61,0.43,0.51,0.32,0.52,0.64,0.38,0.0,0.25,0.23,0.42,0.24,0.56,0.26,0.38,0.44,0.1,0.2,0.5,0.14
coot.csv,0.88,0.63,0.69,0.91,0.4,0.78,0.6,0.51,1.0,0.56,0.88,0.87,0.78,0.33,0.57,0.64,0.25,0.6,0.17,0.57,0.39,0.6,0.86,0.23,0.74,0.38,0.74,0.88,0.88,0.5,0.73,0.68,0.89,0.42,0.18,0.43,0.67,0.94,0.76,0.65,0.88,0.63,0.0,0.65,0.45,0.06,0.59,0.75,0.69,0.77,0.81,0.95,0.77,0.77,1.0,0.74,0.44,0.77,0.2,0.82,0.62,0.47,0.38,0.66,1.0,0.7,0.67,0.75,0.77,0.41,0.55,0.63,0.25,1.0,1.0,0.88,0.81,0.52,0.52,0.69,0.34,0.41,0.66,0.45,0.8,0.77,0.86
cuberok.csv,0.82,0.63,0.57,0.64,0.78,0.74,0.8,0.91,0.7,0.61,0.25,0.51,0.44,0.67,0.49,0.73,0.4,0.68,0.92,0.46,0.48,0.66,0.91,1.0,0.63,0.17,0.61,0.71,0.25,0.25,0.5,0.57,0.28,0.92,0.74,0.77,0.59,0.82,0.57,0.65,0.88,0.97,0.67,0.62,0.82,0.65,0.45,0.32,0.34,0.47,0.75,0.32,0.62,0.96,0.67,0.26,0.44,0.63,0.2,0.91,0.25,0.84,1.0,0.8,0.75,0.25,0.37,0.32,0.7,0.69,0.87,0.29,1.0,0.88,0.0,0.62,0.32,0.76,0.76,0.56,0.43,0.28,0.49,0.72,1.0,0.57,0.43
dsworkbench.csv,0.3,0.13,0.25,0.36,0.22,0.71,0.4,0.42,0.37,0.45,0.2,0.15,0.34,0.58,0.24,0.45,0.29,0.76,0.21,0.57,0.56,0.42,0.0,0.55,0.79,0.17,0.1,0.04,0.4,0.5,0.8,0.22,0.28,0.54,0.72,0.35,0.51,0.18,0.38,0.55,0.25,0.23,0.0,0.69,0.45,0.18,0.49,0.2,0.45,0.38,0.25,0.14,0.38,0.35,0.0,0.22,0.61,0.53,0.6,0.09,0.38,0.26,0.12,0.39,0.0,0.45,0.19,0.2,0.14,0.33,0.38,0.48,0.93,0.5,0.0,0.08,0.27,0.06,0.52,0.25,0.79,0.62,0.32,0.24,0.1,0.12,0.0
dxengine.csv,0.82,0.3,0.07,0.55,0.12,0.37,0.4,0.16,0.89,0.29,0.2,0.36,0.25,0.19,0.29,0.27,0.67,0.4,0.15,0.46,0.06,0.03,0.86,0.18,0.11,0.66,0.05,0.31,0.55,0.75,0.04,0.18,0.12,0.0,0.12,0.15,0.32,0.59,0.19,0.4,0.12,0.35,0.0,0.46,0.4,0.29,0.38,0.62,0.48,0.43,0.25,0.73,0.46,0.08,0.0,0.0,0.11,0.33,0.4,0.27,0.5,0.39,0.0,0.42,0.25,0.7,0.7,0.59,0.23,0.74,0.25,0.85,0.04,0.62,0.0,0.57,0.55,0.52,0.16,0.5,0.45,0.66,0.27,0.07,0.2,0.29,0.29
e-bio-flow.csv,0.27,0.97,0.38,0.27,0.65,0.73,0.4,0.33,0.67,0.52,0.45,0.33,0.47,0.44,0.47,0.73,0.92,0.44,0.53,0.86,0.22,0.79,0.11,0.09,0.53,0.66,0.77,0.43,0.45,0.0,0.71,0.6,0.24,0.65,0.24,0.15,0.3,0.12,0.76,0.25,0.5,0.33,0.33,0.69,0.58,0.71,0.89,0.0,0.9,0.33,0.19,0.36,0.69,0.75,0.33,0.39,0.5,0.77,0.0,0.27,0.75,0.16,0.0,0.86,0.25,0.3,0.11,0.63,0.39,0.33,0.46,0.11,0.76,1.0,0.0,0.2,0.24,0.58,0.56,0.44,0.66,0.07,0.44,0.59,0.3,0.14,0.14
