,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,jcl.csv,quantlib.csv
chipster.csv,0.0,0.34,0.57,0.0,0.71,0.56,0.03,0.0,0.27,0.2
fontforge.csv,0.42,0.31,0.43,0.35,0.69,0.47,0.02,0.75,0.12,0.2
hatari.csv,0.49,0.45,0.66,0.36,0.7,0.48,0.02,0.43,0.12,0.22
jcl.csv,0.54,0.37,0.52,0.34,0.79,0.53,0.02,0.44,0.23,0.21
ltp.csv,0.54,0.32,0.45,0.37,0.78,0.43,0.0,0.41,0.12,0.24
net-snmp.csv,0.52,0.36,0.53,0.33,0.73,0.38,0.03,0.46,0.09,0.24
opde.csv,0.45,0.34,0.45,0.54,0.69,0.46,0.04,0.58,0.1,0.16
powerfolder-.csv,0.49,0.58,0.68,0.32,0.55,0.38,0.06,0.55,0.15,0.15
quantlib.csv,0.45,0.0,1.0,0.0,0.69,0.14,0.0,0.44,0.12,0.37
