,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.66,0.49,0.74,0.55,0.73,0.66,0.4,0.48,0.57,0.53,0.7,0.4,0.67,0.5,0.8,0.88
autat.csv,0.88,0.96,0.95,0.86,0.88,0.5,0.75,0.88,0.82,0.61,0.9,0.96,0.86,0.78,0.92,0.75
biopax.csv,0.41,0.4,0.51,0.49,0.37,0.34,0.37,0.37,0.45,0.33,0.41,0.38,0.48,0.44,0.48,0.39
exl.csv,0.41,0.35,0.5,0.49,0.32,0.35,0.43,0.36,0.41,0.41,0.43,0.39,0.66,0.42,0.4,0.34
fceugc.csv,0.95,0.96,0.97,0.67,0.0,0.6,0.53,0.92,0.79,0.75,0.93,0.76,0.92,0.45,0.8,0.0
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0
gretl.csv,0.43,0.4,0.5,0.47,0.44,0.4,0.36,0.35,0.45,0.31,0.42,0.5,0.42,0.43,0.41,0.31
jasperreports.csv,0.94,0.92,0.94,0.92,0.94,0.8,0.89,0.79,0.96,0.48,0.96,0.0,0.57,0.0,0.57,0.0
jmule.csv,0.55,0.48,0.76,0.54,0.46,0.68,0.88,0.44,0.47,0.55,0.61,0.74,0.59,0.47,0.56,0.5
moast.csv,0.88,0.82,0.91,0.77,0.92,0.67,0.8,0.86,0.99,0.92,0.0,0.42,0.92,0.67,0.75,0.0
ng4j.csv,0.6,0.69,0.74,0.46,0.48,0.68,0.83,0.57,0.68,0.0,0.63,0.8,0.61,0.39,0.79,0.35
olap-navigator.csv,0.53,0.47,0.55,0.51,0.41,0.5,0.34,0.39,0.52,0.38,0.42,0.38,0.6,0.43,0.46,0.34
passwordsafe.csv,0.57,0.38,0.76,0.71,0.51,0.54,0.36,0.48,0.54,0.42,0.61,0.61,0.59,0.52,0.54,0.69
phonon-vlc-mplayer.csv,0.47,0.57,0.91,0.5,0.49,0.64,0.43,0.62,0.49,0.42,0.63,0.4,0.55,0.46,0.46,0.48
sepgsql.csv,0.69,0.96,0.73,0.92,0.76,0.61,0.84,0.92,0.82,0.96,0.83,0.94,0.85,0.89,0.68,0.67
unflobtactical.csv,0.66,0.54,0.64,0.67,0.78,0.54,0.49,0.58,0.67,0.62,0.57,0.4,0.63,0.62,0.71,0.61
