,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.67,0.12,0.67,0.95,0.46,0.48,0.71,0.33,0.2,0.12,0.53,0.95,0.65,0.7,0.36,0.38
autat.csv,0.23,0.04,0.2,0.12,0.11,0.0,0.15,1.0,0.09,0.12,0.15,0.05,0.18,0.32,0.18,0.21
biopax.csv,0.8,0.1,0.48,0.67,0.85,0.51,0.67,0.34,0.15,0.08,0.58,0.95,0.97,0.88,0.43,0.63
exl.csv,0.79,0.11,0.27,0.57,0.76,0.52,0.57,0.31,0.21,0.13,0.5,0.95,0.61,0.99,0.45,0.61
fceugc.csv,0.4,0.19,0.41,0.4,0.0,0.98,0.44,0.14,0.01,0.0,0.39,0.47,0.29,0.69,0.16,0.0
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0
gretl.csv,0.75,0.09,0.41,0.66,0.99,0.5,0.7,0.33,0.1,0.07,0.54,0.51,0.76,0.82,0.41,0.61
jasperreports.csv,0.23,0.15,0.12,0.18,0.15,0.0,0.32,0.25,0.94,0.03,0.24,0.0,0.6,0.0,0.27,0.0
jmule.csv,0.77,0.13,0.63,0.59,0.75,0.38,0.35,0.31,0.26,0.08,0.45,0.21,0.79,0.86,0.5,0.96
moast.csv,0.23,0.11,0.22,0.39,0.17,0.25,0.1,0.0,0.03,0.0,0.0,1.0,0.29,0.45,0.17,0.0
ng4j.csv,0.65,0.09,0.63,0.63,0.81,0.43,0.2,0.36,0.26,0.0,0.45,0.02,0.68,0.78,0.97,0.66
olap-navigator.csv,0.99,0.12,0.48,0.7,0.8,0.55,0.74,0.33,0.15,0.1,0.59,0.94,0.78,0.87,0.41,0.65
passwordsafe.csv,0.67,0.13,0.63,0.56,0.66,0.45,0.65,0.3,0.22,0.1,0.96,0.24,0.62,0.72,0.3,0.4
phonon-vlc-mplayer.csv,0.68,0.14,0.96,0.7,0.8,0.45,0.7,0.14,0.11,0.05,0.5,0.94,0.66,0.72,0.32,0.68
sepgsql.csv,0.37,0.89,0.23,0.32,0.46,0.41,0.26,0.07,0.07,0.0,0.27,0.04,0.42,0.12,0.21,0.24
unflobtactical.csv,0.56,0.11,0.29,0.55,0.5,0.46,1.0,0.38,0.18,0.11,0.43,0.96,0.55,0.55,0.39,0.43
