,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.87,0.06,0.59,0.98,0.82,0.41,0.77,0.24,0.11,0.06,0.53,0.93,0.97,0.75,0.32,0.75
autat.csv,1.0,0.02,0.45,0.43,1.0,0.0,0.75,1.0,0.06,0.07,0.5,0.26,1.0,0.89,0.23,0.75
biopax.csv,0.75,0.05,0.34,0.63,0.88,0.36,0.6,0.21,0.08,0.04,0.44,0.9,0.99,0.86,0.3,0.55
exl.csv,0.74,0.06,0.22,0.58,0.9,0.37,0.64,0.2,0.12,0.07,0.46,0.92,0.87,1.0,0.32,0.51
fceugc.csv,0.84,0.19,0.62,0.62,0.0,1.0,0.63,0.17,0.01,0.0,0.93,0.96,1.0,0.83,0.4,0.0
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
gretl.csv,0.72,0.05,0.29,0.52,1.0,0.36,0.57,0.2,0.06,0.04,0.42,0.78,0.77,0.8,0.26,0.45
jasperreports.csv,0.53,0.25,0.29,0.42,0.67,0.0,0.78,0.21,1.0,0.01,0.4,0.0,0.67,0.0,0.19,0.0
jmule.csv,0.84,0.07,0.56,0.56,0.84,0.32,0.56,0.22,0.15,0.05,0.4,0.72,0.89,0.82,0.39,0.96
moast.csv,1.0,0.07,0.82,0.85,1.0,1.0,0.4,0.0,0.02,0.0,0.0,1.0,0.92,1.0,0.5,0.0
ng4j.csv,0.71,0.05,0.59,0.54,0.87,0.4,0.67,0.3,0.16,0.0,0.5,0.4,0.87,0.88,1.0,0.51
olap-navigator.csv,1.0,0.06,0.33,0.58,0.91,0.47,0.68,0.21,0.08,0.05,0.44,0.89,0.92,0.86,0.27,0.49
passwordsafe.csv,0.85,0.07,0.57,0.71,0.83,0.39,0.67,0.2,0.12,0.05,0.96,0.67,0.85,0.84,0.22,0.5
phonon-vlc-mplayer.csv,0.74,0.07,0.98,0.57,0.82,0.39,0.64,0.12,0.06,0.03,0.48,0.9,0.78,0.76,0.21,0.7
sepgsql.csv,0.5,0.89,0.18,0.44,0.69,0.36,0.37,0.08,0.04,0.0,0.28,0.31,0.67,0.33,0.18,0.28
unflobtactical.csv,0.81,0.06,0.23,0.94,0.86,0.37,1.0,0.31,0.1,0.06,0.39,0.93,0.79,0.75,0.38,0.5
