,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.55,0.68,0.66,0.79,0.6,0.39,0.47,0.57,0.44,0.51,0.45,0.5,0.58,0.45,0.71,0.52,0.59,0.81,0.46
aubit4gl.csv,0.89,0.89,0.83,0.67,0.83,0.0,0.0,0.67,0.46,0.92,0.75,0.93,0.75,0.75,0.5,0.5,0.5,0.75,0.75
ipfilter.csv,0.42,0.43,0.49,0.59,0.51,0.35,0.57,0.48,0.37,0.31,0.46,0.38,0.45,0.4,0.4,0.51,0.45,0.53,0.59
jmol.csv,0.44,0.58,0.41,0.34,0.37,0.45,0.46,0.44,0.32,0.3,0.47,0.4,0.32,0.38,0.33,0.39,0.36,0.38,0.4
liferea.csv,0.45,0.49,0.48,0.41,0.44,0.52,0.69,0.39,0.53,0.54,0.53,0.43,0.43,0.53,0.64,0.53,0.38,0.48,0.8
miranda-icq.csv,0.52,0.51,0.71,0.49,0.49,0.33,0.41,0.4,0.75,0.94,0.44,0.8,0.4,0.93,0.36,0.57,0.48,0.91,0.64
moving-pictures.csv,0.46,0.7,0.37,0.37,0.39,0.64,0.0,0.5,0.48,0.28,0.96,0.58,0.36,0.94,0.48,0.52,0.39,0.95,0.33
opensim4opencog.csv,0.42,0.54,0.32,0.36,0.38,0.35,0.47,0.32,0.32,0.27,0.49,0.37,0.32,0.37,0.42,0.34,0.35,0.35,0.33
pclasses.csv,0.52,0.76,0.8,0.5,0.86,0.75,0.0,0.88,0.75,0.94,0.6,0.96,0.9,0.0,0.65,0.0,0.88,0.67,0.46
pfaedit.csv,0.58,0.67,0.44,0.68,0.58,0.67,0.0,0.65,0.39,0.39,0.68,0.45,0.38,0.93,0.86,0.75,0.75,0.95,0.69
plearn.csv,0.56,0.64,0.54,0.83,0.71,0.73,0.78,0.48,0.95,0.92,0.67,0.58,0.47,0.95,0.5,0.96,0.42,0.97,0.85
psrchive.csv,0.53,0.67,0.9,0.79,0.62,0.37,0.43,0.67,0.39,0.47,0.63,0.93,0.47,0.52,0.48,0.42,0.41,0.55,0.78
re2c.csv,0.76,0.9,0.86,0.5,0.54,0.58,0.67,0.86,0.8,0.94,0.73,0.95,0.61,0.86,0.47,0.63,0.73,0.83,0.86
rockbox.csv,0.65,0.89,0.46,0.35,0.54,0.73,0.0,0.38,0.35,0.35,0.96,0.46,0.38,0.61,0.67,0.58,0.9,0.47,0.35
theresa.csv,0.44,0.53,0.39,0.36,0.41,0.62,0.63,0.47,0.35,0.35,0.7,0.4,0.46,0.36,0.56,0.47,0.34,0.39,0.56
tktoolkit.csv,0.59,0.5,0.58,0.4,0.44,0.34,0.68,0.42,0.35,0.32,0.44,0.34,0.47,0.81,0.31,0.38,0.39,0.45,0.43
tzod.csv,0.47,0.56,0.44,0.48,0.45,0.45,0.53,0.47,0.38,0.4,0.53,0.37,0.45,0.38,0.8,0.47,0.41,0.39,0.88
yaprm.csv,0.44,0.48,0.4,0.58,0.48,0.5,0.0,0.56,0.4,0.82,0.81,0.69,0.45,0.51,0.89,0.86,0.8,0.54,0.55
zemljanka.csv,0.42,0.49,0.43,0.4,0.39,0.33,0.44,0.55,0.35,0.35,0.42,0.39,0.35,0.41,0.31,0.4,0.41,0.48,0.47
