,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,keyczar.csv
agilitybook.csv,0.97,0.66,0.99,0.93,0.77,0.49,0.53,0.71
apolloplayer.csv,0.62,0.78,0.42,0.91,0.82,0.55,0.76,0.79
k3d.csv,0.93,0.93,0.86,0.8,0.93,0.97,0.0,0.94
keyczar.csv,0.71,0.54,0.59,0.48,0.58,0.49,0.4,0.45
kowari.csv,0.9,0.75,0.98,0.0,0.5,0.94,0.86,0.0
redshell.csv,0.4,0.44,0.35,0.38,0.47,0.35,0.37,0.43
rtb-team.csv,0.6,0.43,0.84,0.67,0.55,0.8,0.5,0.56
