,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.15,0.0,0.61,0.39,0.0,0.02,0.3,0.48,0.17
ffigo.csv,0.45,0.15,0.08,0.51,0.51,0.23,0.25,0.0,0.79,0.37
foursquared.csv,0.0,0.35,0.3,0.29,0.76,0.15,0.03,0.0,0.0,0.0
gebr.csv,0.39,0.24,0.78,0.48,0.51,0.72,0.78,0.16,0.73,0.4
ildjit.csv,0.6,0.22,0.38,0.41,0.16,0.52,0.41,0.0,0.49,0.14
jfreereport.csv,0.08,0.32,0.3,0.55,0.59,0.52,0.47,0.12,0.51,0.4
kml.csv,0.22,0.24,0.65,0.49,0.51,0.74,0.81,0.16,0.71,0.41
ng4j.csv,0.38,0.27,0.52,0.46,0.53,0.42,0.62,0.0,0.52,0.7
pcsx2.csv,0.08,0.32,0.72,0.5,0.29,0.67,0.79,0.0,0.27,0.48
wxjs.csv,0.0,0.07,0.0,0.0,0.0,0.1,0.05,0.48,0.0,0.0
