,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.45,0.95,0.54,0.61
columba.csv,0.71,0.5,0.4,0.97
decidr.csv,0.71,0.39,0.97,0.75
jajuk.csv,0.99,0.34,0.6,0.58
