,mycila.csv,azureus.csv,octet.csv,autofac.csv
autofac.csv,0.4,0.7,0.57,
azureus.csv,0.5,,0.86,0.9
mycila.csv,,0.59,0.43,0.66
octet.csv,0.2,0.27,,0.28
