,mycila.csv,azureus.csv,octet.csv,autofac.csv
autofac.csv,0.17,0.38,0.24,
azureus.csv,0.2,,0.19,0.62
mycila.csv,,0.46,0.21,0.55
octet.csv,0.25,0.29,,0.39
