,mycila.csv,azureus.csv,octet.csv,autofac.csv
autofac.csv,0.31,0.32,0.22,
azureus.csv,0.37,,0.45,0.31
mycila.csv,,0.24,0.22,0.26
octet.csv,0.12,0.18,,0.18
