,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.87,0.81,0.47,0.03,0.76,0.74,0.63,0.62,0.59,0.48,0.54,0.73,0.63,0.62,0.7,0.56,0.49,0.58,0.43,0.53
bibletime.csv,0.64,0.69,0.61,0.56,0.65,0.74,0.78,0.68,0.78,0.49,0.71,0.52,0.69,0.74,0.84,0.0,0.56,0.6,0.91,0.93
critterding.csv,0.64,0.04,0.52,0.6,0.62,0.6,0.71,0.61,0.71,0.62,0.73,0.54,0.57,0.53,0.68,0.56,0.62,0.62,0.55,0.64
etics.csv,0.76,0.77,0.0,0.58,0.68,0.73,0.79,0.59,0.67,0.54,0.72,0.81,0.83,0.65,0.9,0.74,0.57,0.6,0.39,0.7
fmri-dmt.csv,0.99,1.0,0.85,0.99,0.97,0.98,1.0,0.93,1.0,1.0,1.0,0.98,1.0,0.93,0.33,0.98,1.0,1.0,0.44,0.92
genecys.csv,0.89,0.98,0.98,0.8,0.97,0.91,0.94,0.99,0.0,0.92,0.9,0.96,0.97,1.0,0.98,1.0,0.91,0.93,0.93,0.95
genoviz.csv,1.0,1.0,0.85,1.0,0.98,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.0,1.0
kftpgrabber.csv,0.73,0.65,0.47,0.73,0.7,0.72,0.58,0.67,0.7,0.56,0.6,0.74,0.04,0.83,0.56,0.68,0.67,0.47,0.53,0.65
kvs.csv,0.71,0.77,0.7,0.81,0.9,0.73,0.05,0.8,0.95,0.58,0.55,0.52,0.8,0.66,1.01,0.83,0.85,0.76,0.32,0.75
mcore3d.csv,0.66,0.58,0.63,0.79,0.04,0.56,0.84,0.78,0.9,0.73,0.66,0.66,0.71,0.49,0.82,0.45,0.54,0.64,0.89,0.75
miranda.csv,0.63,0.7,0.46,0.59,0.74,0.61,0.68,0.55,0.53,0.58,0.59,0.59,0.48,0.69,0.4,0.56,0.58,0.51,0.57,0.0
modplug.csv,0.79,0.68,0.78,0.68,0.83,0.68,0.69,0.56,0.68,0.65,0.83,0.02,0.54,0.47,0.76,0.42,0.53,0.66,0.82,0.89
monetdb.csv,0.72,0.68,0.42,0.63,0.79,0.72,0.79,0.62,0.5,0.05,0.54,0.72,0.57,0.73,0.73,0.85,0.67,0.65,0.74,0.67
netatalk.csv,0.82,0.85,0.85,0.76,0.87,0.78,0.81,0.75,0.65,0.54,0.57,0.8,0.61,0.07,0.86,0.82,0.71,0.64,0.3,0.7
ogrehg.csv,0.75,0.76,0.43,0.69,0.63,0.56,0.72,0.04,0.59,0.52,0.52,0.66,0.63,0.48,1.02,0.67,0.59,0.67,0.49,0.56
passwordsafe.csv,0.71,0.68,0.63,0.69,0.58,0.57,0.49,0.61,0.71,0.57,0.56,0.57,0.5,0.53,0.87,0.63,0.05,0.47,0.6,0.61
projecteqemu.csv,0.79,0.75,0.49,0.67,0.67,0.69,0.95,0.69,0.57,0.67,0.0,0.61,0.49,0.57,0.85,0.67,0.67,0.63,0.44,0.63
reactos-mirror.csv,0.05,0.64,0.96,0.71,0.63,0.63,0.88,0.75,0.54,0.64,0.74,0.75,0.81,0.68,1.0,0.8,0.65,0.77,0.76,0.82
xbplayer.csv,0.84,0.81,0.69,0.76,0.86,0.1,0.75,0.74,0.93,0.75,0.7,0.72,0.51,0.65,0.7,0.82,0.86,0.81,0.55,0.71
xmoto.csv,0.89,0.66,0.61,0.64,0.66,0.68,0.67,0.59,0.65,0.5,0.56,0.48,0.39,0.57,0.8,0.66,0.63,0.03,0.73,0.62
