,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.76,0.86,0.9,0.05,1.03,0.96,1.16,1.01,0.69,0.9,0.88,0.77,0.78
empserver.csv,0.66,0.97,0.72,0.54,1.12,0.72,0.89,0.93,0.67,0.06,0.68,0.6,0.67
emulemorph.csv,0.98,1.0,1.0,0.94,1.01,0.96,1.0,0.17,0.87,1.0,1.01,0.96,0.78
google-web-toolkit.csv,0.72,0.97,0.77,0.55,0.38,0.7,0.5,0.94,0.65,0.74,0.82,0.75,0.03
htmlunit.csv,0.71,1.0,0.73,0.94,1.0,0.05,0.41,0.43,0.8,0.83,0.63,0.81,0.73
jaxen.csv,0.83,0.93,0.87,0.94,1.0,0.73,0.0,0.55,1.0,0.89,0.57,0.74,0.9
jguard.csv,0.91,0.9,0.85,0.86,0.38,0.86,0.75,0.72,0.05,0.91,0.94,0.82,0.77
kowari.csv,0.91,0.82,0.6,0.89,1.0,0.84,0.8,1.0,0.77,0.96,0.0,0.91,0.82
maidsafe-dht.csv,0.96,0.65,0.0,0.75,1.0,0.54,0.6,0.57,0.81,0.91,0.67,0.86,0.81
mimosa.csv,0.61,0.98,0.51,0.61,1.19,0.57,0.42,0.62,0.68,0.57,0.46,0.0,0.64
vdsf.csv,0.93,0.15,0.85,0.83,1.36,0.97,0.94,0.81,0.86,0.94,0.93,0.95,0.82
xbrlapi.csv,0.03,0.83,0.68,0.85,0.23,0.65,0.64,0.79,0.65,0.59,0.65,0.62,0.71
