,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.39,0.19,0.17,0.96,0.0,0.07,0.0,0.0,0.41,0.13,0.17,0.28,0.38
empserver.csv,0.55,0.13,0.45,0.59,0.0,0.6,0.39,0.2,0.44,0.95,0.6,0.5,0.52
emulemorph.csv,0.09,0.0,0.0,0.09,0.0,0.07,0.0,0.86,0.2,0.0,0.0,0.15,0.29
google-web-toolkit.csv,0.46,0.23,0.33,0.57,0.89,0.38,0.62,0.2,0.42,0.6,0.32,0.4,0.98
htmlunit.csv,0.47,0.0,0.33,0.14,0.0,0.96,0.64,0.68,0.27,0.5,0.47,0.28,0.39
jaxen.csv,0.22,0.09,0.17,0.09,0.0,0.33,1.0,0.54,0.0,0.13,0.48,0.3,0.13
jguard.csv,0.36,0.4,0.42,0.45,0.89,0.46,0.58,0.58,0.97,0.32,0.17,0.51,0.49
kowari.csv,0.17,0.21,0.48,0.14,0.0,0.19,0.24,0.0,0.31,0.07,1.0,0.13,0.21
maidsafe-dht.csv,0.06,0.42,1.0,0.33,0.0,0.52,0.45,0.53,0.27,0.17,0.46,0.21,0.24
mimosa.csv,0.61,0.09,0.59,0.52,0.0,0.61,0.76,0.62,0.38,0.53,0.69,1.0,0.46
vdsf.csv,0.3,0.87,0.47,0.49,0.0,0.2,0.38,0.54,0.44,0.31,0.38,0.38,0.5
xbrlapi.csv,1.0,0.5,0.55,0.42,0.94,0.67,0.44,0.47,0.46,0.57,0.56,0.5,0.43
