,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.36,0.16,0.14,0.95,0.0,0.06,0.0,0.0,0.37,0.11,0.14,0.24,0.35
empserver.csv,0.57,1.0,0.43,0.57,0.0,0.77,0.4,0.17,0.4,0.94,0.71,0.47,0.52
emulemorph.csv,0.07,0.0,0.0,0.07,0.0,0.06,0.0,0.83,0.17,0.0,0.0,0.13,0.25
google-web-toolkit.csv,0.45,0.74,0.29,0.55,1.0,0.34,0.6,0.17,0.37,0.86,0.29,0.37,0.98
htmlunit.csv,0.45,1.0,0.29,0.12,0.0,0.95,0.6,0.67,0.23,0.89,0.43,0.24,0.35
jaxen.csv,0.19,0.07,0.14,0.07,0.0,0.28,1.0,0.5,0.0,0.11,0.43,0.26,0.11
jguard.csv,0.74,0.69,0.43,0.81,1.0,0.72,0.8,0.67,0.97,0.92,0.14,0.89,0.52
kowari.csv,0.14,0.18,0.43,0.12,0.0,0.16,0.2,0.0,0.27,0.06,1.0,0.11,0.18
maidsafe-dht.csv,0.05,0.37,1.0,0.29,0.0,0.47,0.4,0.5,0.23,0.14,0.43,0.18,0.2
mimosa.csv,0.64,0.87,0.57,0.5,0.0,0.62,0.8,0.67,0.33,0.5,0.71,1.0,0.42
vdsf.csv,0.93,0.85,0.86,0.86,0.0,0.78,0.6,1.0,0.8,0.78,0.43,0.47,0.69
xbrlapi.csv,1.0,0.77,0.57,0.43,1.0,0.84,0.4,0.5,0.43,0.56,0.57,0.47,0.4
