,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.71,1.0,0.94,0.71,0.98,0.98,0.62,0.94,0.85,0.88,0.94,0.92,0.78
empserver.csv,0.5,0.27,0.66,0.54,0.54,0.39,0.54,0.58,0.55,0.56,0.38,0.57,0.52
emulemorph.csv,0.93,0.0,0.0,0.94,0.99,0.97,0.0,0.8,0.95,0.0,0.92,0.91,0.99
google-web-toolkit.csv,0.61,0.28,0.86,0.67,0.78,0.66,0.52,0.83,0.89,0.4,0.59,0.65,0.51
htmlunit.csv,0.54,0.26,0.75,0.65,0.97,0.59,0.92,0.64,0.68,0.46,0.52,0.65,0.59
jaxen.csv,0.81,0.99,0.9,0.8,0.97,0.97,0.8,0.68,0.0,0.75,0.8,0.92,0.97
jguard.csv,0.44,0.31,0.57,0.61,0.6,0.43,0.51,0.57,0.68,0.44,0.59,0.4,0.54
kowari.csv,0.72,0.99,0.75,0.8,0.95,0.96,0.75,0.89,0.64,0.86,0.86,0.92,0.98
maidsafe-dht.csv,0.83,0.78,0.86,0.5,0.93,0.66,0.83,0.48,0.55,0.6,0.43,0.67,0.8
mimosa.csv,0.43,0.27,0.64,0.49,0.39,0.46,0.47,0.48,0.83,0.63,0.52,0.55,0.56
vdsf.csv,0.39,0.99,0.45,0.61,0.37,0.41,0.48,0.4,0.46,0.43,0.5,0.55,0.53
xbrlapi.csv,0.51,0.33,0.65,0.67,0.86,0.44,0.86,0.52,0.61,0.76,0.48,0.66,0.63
