,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.18,0.18,0.46,0.26,0.51,0.24,0.74,0.35,0.45,0.41,0.61,0.34,0.63
bscwweasel.csv,0.08,0.23,0.43,0.41,0.5,0.33,0.44,0.35,0.32,0.36,0.27,0.43,0.58
capcode.csv,0.06,0.2,0.38,0.24,0.45,0.41,0.49,0.35,0.5,0.44,0.46,0.34,0.61
emite.csv,0.69,0.14,0.38,0.23,0.43,0.06,0.02,0.2,0.2,0.26,0.66,0.26,0.26
geogebra.csv,0.08,0.25,0.48,0.31,0.53,0.27,0.71,0.4,0.54,0.43,0.11,0.54,0.73
hibernate.csv,0.54,0.21,0.34,0.22,0.52,0.32,0.47,0.37,0.33,0.48,0.36,0.47,0.74
lamp.csv,0.42,0.34,0.39,0.25,0.49,0.23,0.85,0.47,0.42,0.48,0.22,0.41,0.75
nodal.csv,0.02,0.11,0.47,0.21,0.32,0.35,0.02,0.14,0.6,0.37,0.15,0.35,0.7
retromenu.csv,0.66,0.28,0.43,0.22,0.76,0.29,0.35,0.2,0.29,0.26,0.47,0.4,0.35
smbopensoft.csv,0.81,0.18,0.37,0.17,0.38,0.3,0.72,0.28,0.47,0.42,0.57,0.35,0.76
stuproa-cims.csv,0.0,0.24,0.41,0.3,0.52,0.29,0.04,0.55,0.33,0.33,0.42,0.43,0.79
thout.csv,0.6,0.18,0.53,0.28,0.39,0.26,0.85,0.4,0.43,0.41,0.59,0.33,0.71
uface.csv,0.66,0.18,0.37,0.28,0.58,0.3,0.77,0.39,0.41,0.47,0.58,0.41,0.95
