,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.92,0.45,0.48,0.54,0.44,0.4,0.56,0.45,0.35,0.49,0.38,0.62,0.54
bscwweasel.csv,0.8,0.72,0.52,0.66,0.48,0.58,0.66,0.57,0.93,0.74,0.93,0.88,0.58
capcode.csv,0.75,0.43,0.48,0.51,0.5,0.63,0.79,0.97,0.45,0.5,0.47,0.74,0.54
emite.csv,0.31,0.93,0.57,0.88,0.57,0.71,0.0,0.96,0.86,0.88,0.46,0.98,0.96
geogebra.csv,0.75,0.53,0.58,0.61,0.35,0.38,0.39,0.4,0.47,0.47,0.8,0.45,0.4
hibernate.csv,0.41,0.93,0.53,0.43,0.38,0.41,0.54,0.72,0.37,0.57,0.67,0.57,0.47
lamp.csv,0.7,0.67,0.76,0.48,0.34,0.36,0.39,0.62,0.38,0.43,0.79,0.41,0.44
nodal.csv,0.0,0.75,0.57,0.58,0.5,0.73,0.0,0.94,0.71,0.75,0.88,0.96,0.47
retromenu.csv,0.28,0.66,0.48,0.69,0.42,0.42,0.62,0.5,0.91,0.99,0.75,0.52,0.88
smbopensoft.csv,0.41,0.39,0.47,0.56,0.42,0.54,0.53,0.67,0.69,0.43,0.39,0.49,0.45
stuproa-cims.csv,0.0,0.67,0.57,0.69,0.41,0.89,0.75,0.76,0.41,0.98,0.65,0.55,0.43
thout.csv,0.4,0.4,0.56,0.91,0.42,0.38,0.39,0.36,0.33,0.46,0.39,0.42,0.49
uface.csv,0.27,0.4,0.45,0.42,0.31,0.37,0.38,0.4,0.41,0.39,0.35,0.41,0.37
