,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,197.5,859.0,197.5,387.0,639.5,195.0,98.5,296.0,97.5,1676.5,98.5,99.0,98.5
bscwweasel.csv,96.5,569.5,197.5,192.0,375.0,195.0,98.5,390.5,288.5,787.5,350.0,99.0,98.5
capcode.csv,98.5,295.0,197.5,196.0,465.5,94.5,95.5,370.0,196.0,1277.5,93.5,99.0,98.5
emite.csv,197.5,203.5,98.5,192.0,543.0,93.5,88.5,293.5,97.5,96.5,98.5,99.0,85.5
geogebra.csv,98.5,194.0,98.5,92.5,466.5,195.0,98.5,196.0,196.0,977.5,172.0,99.0,98.5
hibernate.csv,293.0,91.5,197.5,294.5,372.0,96.5,98.5,291.5,288.5,1345.0,98.5,99.0,98.5
lamp.csv,98.5,192.0,94.5,192.0,756.0,195.0,98.5,97.5,190.0,883.5,95.5,99.0,98.5
nodal.csv,98.5,91.5,196.5,273.5,370.0,157.0,95.5,295.0,93.5,863.5,92.5,99.0,98.5
retromenu.csv,293.0,190.0,197.5,366.0,81.5,292.5,98.5,488.0,192.0,96.5,97.5,99.0,85.5
smbopensoft.csv,98.5,394.0,98.5,294.5,756.0,290.5,96.5,294.0,97.5,1477.5,95.5,99.0,98.5
stuproa-cims.csv,0.0,91.5,197.5,280.5,657.5,173.0,155.5,192.0,192.0,378.0,93.5,99.0,98.5
thout.csv,98.5,394.0,382.0,178.0,558.0,292.5,98.5,395.0,196.0,2467.5,98.5,99.0,98.5
uface.csv,197.5,394.0,197.5,294.5,280.5,292.5,98.5,392.5,290.5,587.5,98.5,99.0,98.5
