,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.77,0.1,0.39,0.16,0.41,0.15,0.81,0.26,0.29,0.28,0.45,0.26,0.72
bscwweasel.csv,0.8,0.15,0.36,0.32,0.48,0.25,0.64,0.29,0.43,0.44,0.43,0.5,0.94
capcode.csv,0.75,0.11,0.23,0.14,0.39,0.3,0.75,0.48,0.37,0.32,0.4,0.3,0.82
emite.csv,0.55,0.13,0.28,0.18,0.43,0.04,1.0,0.32,0.43,0.31,0.59,0.35,0.68
geogebra.csv,1.0,0.16,0.53,0.24,0.4,0.18,0.69,0.29,0.42,0.4,0.4,0.44,0.93
hibernate.csv,0.49,0.21,0.23,0.13,0.38,0.2,0.74,0.37,0.24,0.44,0.42,0.41,0.72
lamp.csv,0.6,0.23,0.45,0.16,0.32,0.14,0.74,0.46,0.31,0.37,0.36,0.26,0.73
nodal.csv,1.0,0.25,0.41,0.13,0.24,0.27,1.0,0.31,0.58,0.45,0.38,0.4,0.91
retromenu.csv,0.51,0.21,0.37,0.17,0.71,0.19,0.78,0.16,0.45,0.4,0.6,0.31,0.92
smbopensoft.csv,0.81,0.1,0.23,0.1,0.27,0.2,0.77,0.25,0.41,0.29,0.45,0.23,0.88
stuproa-cims.csv,0.0,0.67,0.39,0.27,0.41,0.33,0.5,0.61,0.25,0.58,0.59,0.39,0.77
thout.csv,0.54,0.1,0.46,0.26,0.3,0.15,0.74,0.26,0.27,0.28,0.43,0.2,0.69
uface.csv,0.49,0.1,0.23,0.17,0.4,0.19,0.72,0.28,0.3,0.36,0.47,0.27,0.96
