,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,98.5,193.0,1138.5,568.0,94.5,1233.5,97.5,99.0,97.5,188.0,1623.0,1878.0,99.0,389.0,474.0,98.5,180.0
delphilhlplib.csv,98.5,193.0,188.0,381.0,455.5,226.5,97.5,98.5,97.5,92.5,1381.0,77.5,99.0,391.5,372.5,98.5,95.5
exordium.csv,98.5,192.0,566.0,90.5,192.0,1388.5,97.5,98.5,97.5,384.0,1169.5,1298.5,196.0,291.5,1506.0,98.5,194.0
fltk.csv,98.5,189.0,188.0,280.5,728.0,760.0,97.5,89.5,97.5,188.0,1434.5,731.5,99.0,292.5,557.5,98.5,95.5
genoviz.csv,168.0,193.0,79.5,56.5,170.0,201.5,97.5,89.5,97.5,51.5,150.0,42.5,86.5,96.5,90.5,0.0,95.5
gzigzag.csv,98.5,189.0,665.0,181.0,179.0,360.5,97.5,89.5,97.5,92.5,1296.0,156.0,99.0,291.5,470.0,98.5,95.5
irrlicht.csv,98.5,193.0,1137.5,951.5,386.0,1757.0,97.5,99.0,97.5,1061.5,5204.5,1956.5,99.0,685.5,0.0,98.5,194.0
moast.csv,98.5,95.5,465.5,759.5,386.0,997.0,97.5,99.0,97.5,776.0,4334.5,899.5,99.0,191.5,5445.0,93.5,95.5
mptvseries.csv,98.5,0.0,544.0,162.0,183.0,719.0,97.5,98.5,97.5,142.0,1860.5,156.0,97.5,0.0,465.0,98.5,95.5
openfrag.csv,98.5,193.0,569.5,566.0,450.5,537.5,97.5,98.5,97.5,191.0,1905.0,77.5,99.0,685.5,653.0,98.5,95.5
qse.csv,95.5,193.0,948.5,243.5,192.0,498.5,97.5,99.0,97.5,142.0,1623.5,695.0,197.0,390.5,281.0,98.5,372.0
sauerbraten.csv,98.5,94.5,1233.0,951.5,823.5,1596.0,97.5,99.0,97.5,868.5,974.0,1956.5,99.0,588.0,8105.0,98.5,194.0
toped.csv,98.5,193.0,658.5,852.5,826.5,1173.5,97.5,93.5,97.5,863.5,483.5,564.5,99.0,586.5,5142.0,98.5,95.5
truevision.csv,98.5,193.0,544.0,426.5,386.0,1260.0,97.5,99.0,97.5,92.5,194.0,833.0,197.0,588.0,1990.0,98.5,194.0
uwom.csv,98.5,189.0,375.0,381.5,178.0,1226.5,91.5,99.0,97.5,92.5,1179.0,77.5,99.0,134.5,651.0,80.5,194.0
zoolib.csv,98.5,192.0,187.0,480.0,635.5,133.0,97.5,96.5,97.5,92.5,1111.5,73.5,99.0,588.0,281.0,98.5,95.5
zxing.csv,98.5,192.0,759.5,162.0,633.5,914.0,97.5,96.5,97.5,142.0,2137.5,236.5,196.0,390.0,465.0,98.5,95.5
