,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.38,0.48,0.64,0.64,0.75,0.59,0.68,0.52,0.76,0.48
firebird.csv,0.57,0.78,0.0,0.7,0.65,0.58,0.32,0.13,0.73,0.09
fmri-dmt.csv,0.39,0.51,0.35,0.5,0.36,0.29,0.23,0.52,0.22,0.95
htmlunit.csv,0.57,0.68,0.44,0.54,0.68,0.63,0.66,0.6,0.62,0.61
monetdb.csv,0.53,0.42,0.89,0.47,0.64,0.55,0.64,0.6,0.74,0.2
ontomorphtab.csv,0.53,0.77,0.0,0.66,0.17,0.68,0.68,0.58,0.55,0.56
smarttag.csv,0.53,0.66,0.12,0.64,0.65,0.51,0.72,0.65,0.38,0.64
taokgame.csv,0.27,0.39,0.98,0.4,0.36,0.07,0.55,0.44,0.37,0.2
webdriver.csv,0.58,0.68,0.72,0.57,0.54,0.37,0.76,0.6,0.69,0.37
xbplayer.csv,0.51,0.73,0.74,0.64,0.67,0.64,0.69,0.58,0.59,0.37
