,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.11,0.1,0.65,0.33,0.45,0.25,0.52,0.41,0.38,0.58
firebird.csv,0.3,0.43,1.0,0.53,0.69,0.78,0.91,0.97,0.44,0.98
fmri-dmt.csv,0.59,0.48,0.9,0.56,0.89,0.42,0.26,0.82,0.39,0.21
htmlunit.csv,0.31,0.24,0.3,0.33,0.4,0.24,0.57,0.62,0.37,0.55
monetdb.csv,0.25,0.19,0.16,0.28,0.64,0.22,0.44,0.69,0.28,0.19
ontomorphtab.csv,0.8,0.24,1.0,0.62,0.96,0.63,0.48,0.77,0.8,0.76
smarttag.csv,0.59,0.48,0.45,0.67,0.42,0.38,0.48,0.31,0.3,0.44
taokgame.csv,0.05,0.14,0.1,0.43,0.12,0.07,0.22,0.49,0.03,0.08
webdriver.csv,0.72,0.48,0.49,0.71,0.23,0.26,0.26,0.51,0.45,0.29
xbplayer.csv,0.27,0.29,0.43,0.39,0.31,0.29,0.33,0.59,0.16,0.34
