,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.46,0.58,0.23,0.57,0.59,0.54,0.64,0.38,0.62,0.13
firebird.csv,0.61,0.81,0.2,0.58,0.53,0.52,0.58,0.42,0.58,0.16
fmri-dmt.csv,0.4,0.57,0.19,0.41,0.44,0.24,0.26,0.47,0.19,0.48
htmlunit.csv,0.6,0.73,0.21,0.49,0.56,0.56,0.62,0.42,0.51,0.18
monetdb.csv,0.57,0.5,0.56,0.44,0.5,0.51,0.61,0.42,0.64,0.11
ontomorphtab.csv,0.68,0.81,0.2,0.56,0.48,0.54,0.63,0.46,0.53,0.17
smarttag.csv,0.54,0.71,0.04,0.55,0.52,0.42,0.67,0.51,0.34,0.22
taokgame.csv,0.36,0.48,0.71,0.35,0.39,0.09,0.57,0.31,0.46,0.17
webdriver.csv,0.64,0.73,0.28,0.49,0.5,0.35,0.73,0.42,0.55,0.15
xbplayer.csv,0.54,0.78,0.3,0.55,0.57,0.56,0.66,0.39,0.58,0.14
