,f1,g,recall,precision,pf,wins
cornerstone.csv,0.34,0.35,0.3,0.6,0.11,2
emeraldemu.csv,0.3,0.45,0.54,0.69,0.15,8
grafx2.csv,0.52,0.64,0.72,0.46,0.45,9
jahshakafx.csv,0.54,0.65,0.66,0.56,0.25,15
kindb.csv,0.53,0.63,0.74,0.53,0.34,14
maya-work-in-progress.csv,0.57,0.69,0.82,0.43,0.61,11
novembre.csv,0.5,0.5,0.47,0.55,0.23,7
ns-3.csv,0.45,0.46,0.64,0.41,0.52,1
nullc.csv,0.51,0.58,0.66,0.5,0.36,10
open-beos.csv,0.53,0.64,0.75,0.54,0.43,13
pixel-commandos.csv,0.24,0.22,0.18,0.57,0.08,0
planeshift.csv,0.56,0.57,0.81,0.42,0.7,5
plee-the-bear.csv,0.55,0.56,0.6,0.51,0.45,6
reaper-ecad.csv,0.3,0.31,0.27,0.76,0.01,4
sbml.csv,0.61,0.68,0.87,0.48,0.65,12
unimrcp.csv,0.57,0.63,0.7,0.56,0.27,16
unladen-swallow.csv,0.4,0.46,0.42,0.53,0.18,3
