,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.53,0.71,0.61,0.59,0.81,0.74,0.95,0.75,0.98,0.97,0.43,0.49,0.72,0.63,0.89,0.4,0.51
emeraldemu.csv,0.58,0.49,0.65,0.9,0.86,0.85,0.62,0.38,0.68,0.38,0.74,0.89,0.7,0.84,0.47,0.82,0.29
grafx2.csv,0.64,0.53,0.56,0.69,0.65,0.72,0.63,0.51,0.61,0.46,0.72,0.75,0.65,0.35,0.62,0.46,0.32
jahshakafx.csv,0.3,0.45,0.41,0.67,0.67,0.81,0.59,0.44,0.55,0.53,0.64,0.61,0.49,0.33,0.46,0.29,0.4
kindb.csv,0.37,0.52,0.48,0.61,0.48,0.67,0.56,0.59,0.65,0.47,0.76,0.85,0.5,0.62,0.51,0.19,0.44
maya-work-in-progress.csv,0.73,0.64,0.59,0.4,0.73,0.61,0.63,0.67,0.76,0.31,0.98,0.49,0.63,0.44,0.57,0.37,0.72
novembre.csv,0.4,0.49,0.81,0.7,0.82,0.74,0.37,0.6,0.68,0.59,0.67,0.46,0.79,0.63,0.63,0.48,0.27
ns-3.csv,0.6,0.48,0.97,0.61,0.72,0.6,0.85,0.79,0.67,0.74,0.6,0.99,0.69,0.99,0.84,1.01,0.86
nullc.csv,0.7,0.99,0.99,0.91,0.34,0.68,0.54,0.52,0.6,0.84,0.73,0.64,0.6,0.46,0.46,0.49,0.36
open-beos.csv,0.42,0.51,0.45,0.6,0.57,0.63,0.63,0.59,0.46,0.6,0.76,0.92,0.56,0.71,0.43,0.88,0.52
pixel-commandos.csv,0.96,0.7,0.76,0.7,0.82,0.86,0.74,0.84,0.87,0.94,0.95,1.0,0.84,0.62,0.61,0.69,0.07
planeshift.csv,0.96,0.95,0.87,0.99,0.77,0.65,0.75,0.66,0.75,0.6,0.72,0.85,0.42,0.4,0.59,0.88,0.62
plee-the-bear.csv,0.32,0.63,0.34,0.96,0.73,0.62,0.65,0.77,0.64,0.36,0.72,0.58,0.69,0.6,0.65,0.63,0.59
reaper-ecad.csv,0.49,0.74,0.62,0.33,0.76,0.97,0.93,0.63,0.85,0.97,0.74,1.0,0.72,1.0,0.72,0.82,0.5
sbml.csv,0.43,0.48,0.67,0.69,0.49,0.65,0.84,0.86,0.51,0.82,0.75,0.65,0.72,0.35,0.3,0.69,0.58
unimrcp.csv,0.39,0.52,0.54,0.39,0.63,0.61,0.66,0.45,0.61,0.37,0.77,0.42,0.53,0.38,0.47,0.32,0.36
unladen-swallow.csv,0.76,0.57,0.57,0.92,0.82,0.71,0.7,0.63,0.63,0.63,0.73,0.42,0.68,0.46,0.8,0.56,0.61
