,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.54,0.35,0.44,0.47,0.24,0.32,0.09,0.3,0.02,0.04,0.69,0.59,0.33,0.46,0.13,0.66,0.55
emeraldemu.csv,0.72,0.65,0.67,0.36,0.17,0.19,0.45,0.7,0.37,0.71,0.55,0.13,0.36,0.19,0.59,0.22,0.77
grafx2.csv,0.7,0.7,0.64,0.68,0.43,0.45,0.64,0.62,0.57,0.7,0.57,0.57,0.57,0.73,0.69,0.77,0.76
jahshakafx.csv,0.82,0.65,0.76,0.42,0.41,0.24,0.51,0.76,0.59,0.52,0.61,0.46,0.66,0.73,0.69,0.76,0.74
kindb.csv,0.81,0.63,0.78,0.53,0.62,0.43,0.71,0.69,0.64,0.58,0.57,0.18,0.72,0.45,0.57,0.84,0.86
maya-work-in-progress.csv,0.65,0.7,0.69,0.76,0.64,0.57,0.72,0.68,0.57,0.75,0.09,0.78,0.67,0.76,0.7,0.77,0.6
novembre.csv,0.67,0.61,0.25,0.37,0.22,0.32,0.73,0.5,0.57,0.49,0.49,0.71,0.27,0.45,0.61,0.62,0.78
ns-3.csv,0.61,0.65,0.07,0.46,0.34,0.65,0.46,0.41,0.53,0.38,0.52,0.05,0.64,0.13,0.48,0.0,0.46
nullc.csv,0.61,0.05,0.05,0.33,0.71,0.43,0.68,0.64,0.55,0.19,0.58,0.42,0.63,0.63,0.64,0.58,0.75
open-beos.csv,0.81,0.75,0.73,0.7,0.5,0.47,0.64,0.69,0.64,0.46,0.33,0.3,0.63,0.65,0.73,0.41,0.7
pixel-commandos.csv,0.05,0.54,0.31,0.5,0.22,0.17,0.31,0.19,0.16,0.07,0.07,0.0,0.19,0.45,0.46,0.37,0.99
planeshift.csv,0.17,0.21,0.43,0.05,0.55,0.62,0.57,0.66,0.58,0.65,0.57,0.47,0.71,0.72,0.71,0.39,0.65
plee-the-bear.csv,0.8,0.45,0.76,0.05,0.5,0.54,0.53,0.53,0.62,0.7,0.54,0.57,0.56,0.59,0.48,0.59,0.78
reaper-ecad.csv,0.57,0.31,0.44,0.76,0.28,0.04,0.09,0.42,0.18,0.04,0.31,0.0,0.33,0.0,0.33,0.22,0.55
sbml.csv,0.78,0.73,0.67,0.69,0.58,0.58,0.49,0.44,0.7,0.51,0.62,0.7,0.61,0.72,0.79,0.68,0.78
unimrcp.csv,0.79,0.69,0.63,0.82,0.43,0.49,0.63,0.63,0.47,0.73,0.57,0.7,0.6,0.67,0.61,0.75,0.75
unladen-swallow.csv,0.28,0.51,0.5,0.1,0.24,0.35,0.52,0.49,0.46,0.43,0.33,0.75,0.44,0.6,0.25,0.54,0.53
