,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,97.5,98.5,2060.5,394.0,176.0,183.0,472.5,2677.5,680.0,193.0,177.0
badtrinitycore.csv,0.0,77.5,1073.0,394.0,650.5,89.5,192.0,1531.0,294.0,99.0,96.5
boost.csv,97.5,98.5,972.0,492.0,490.0,275.5,1167.5,1064.0,482.5,99.0,96.5
electric-core.csv,97.5,98.5,483.5,393.5,195.5,183.0,1892.5,2202.0,881.0,99.0,195.0
java-gnome.csv,95.5,98.5,1866.0,88.5,96.5,87.5,590.0,1808.5,981.5,196.0,94.5
miranda-icq.csv,97.5,197.5,783.5,294.5,980.5,648.5,1204.5,578.0,782.5,99.0,94.5
ofbiz.csv,97.5,197.5,580.0,294.5,3355.5,559.0,394.0,2790.0,683.5,99.0,96.5
olsrd.csv,97.5,195.5,786.5,394.0,456.5,467.5,390.0,2222.0,680.0,99.0,96.5
opensim4opencog.csv,97.5,195.5,583.0,394.0,492.0,551.0,194.5,1057.5,486.5,99.0,96.5
t-2.csv,242.0,197.5,775.0,393.0,881.5,363.0,295.5,78.5,390.0,99.0,195.0
xcf.csv,97.5,96.5,1762.0,394.0,3090.5,268.5,394.0,5341.5,489.0,99.0,96.5
