,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.88,0.0,0.0,0.08
repositorium.csv,0.12,0.91,0.0,0.46
simplewebservices.csv,0.83,0.82,0.38,0.68
xbg.csv,0.0,0.0,1.0,0.42
